datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³,pm25_was_missing
2024-01-29 17:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,748.2,,26.62,48.63,1.7,0
2024-01-29 18:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,748.1,,26.48,52.74,1.76,0
2024-01-29 19:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,639.5,,26.53,49.7,1.74,0
2024-01-29 20:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,638.1,,26.73,53.02,1.77,0
2024-01-29 21:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,502.7,,26.73,49.56,1.76,0
2024-01-29 22:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,513.5,,26.64,45.92,1.73,0
2024-01-29 23:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,424.1,,26.46,50.18,1.74,0
2024-01-30 00:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,513.7,,26.55,50.59,1.76,0
2024-01-30 01:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,644.1,,26.64,44.47,1.82,0
2024-01-30 02:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,983.1,,26.48,45.57,1.93,0
2024-01-30 03:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,973.7,,26.61,41.33,2.03,0
2024-01-30 04:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,1041.7,,26.64,63.19,2.04,0
2024-01-30 05:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,919.5,,26.43,56.52,1.94,0
2024-01-30 06:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,960.4,,26.51,60.15,1.94,0
2024-01-30 07:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,915.3,,26.53,67.76,1.98,0
2024-01-30 08:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,1041.8,,26.53,69.16,1.94,0
2024-01-30 09:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,1083.1,,26.54,58.9,2.01,0
2024-01-30 10:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,1317.4,,26.57,71.4,2.0,0
