hcho_valid_pixels,hcho_mean,hcho_std,hcho_min,hcho_max,hcho_median,location_id,date,month
0,,,,,,2161292,2024-02-06,2
0,,,,,,2161292,2024-02-07,2
0,,,,,,2161292,2024-02-08,2
0,,,,,,2161292,2024-02-09,2
135,0.0001597166265128,9.870286157820374e-05,-0.0001151195829152,0.0003728891606442,0.0001460989878978,2161292,2024-02-10,2
156,0.0001979630760615,0.0001101237721741,-0.0001139855812652,0.0004847257805522,0.0002039719256572,2161292,2024-02-11,2
156,0.0002046778390649,9.860154386842623e-05,-8.836171764414757e-05,0.0004238812543917,0.0002050236216746,2161292,2024-02-12,2
121,0.0001138555962825,8.301946945721284e-05,-0.0001277041010325,0.0003815553791355,0.0001056079563568,2161292,2024-02-13,2
0,,,,,,2161292,2024-02-14,2
0,,,,,,2161292,2024-02-15,2
24,0.0001413868303643,7.375481800409034e-05,6.380764716595877e-07,0.0002951719216071,0.000138886476634,2161292,2024-02-16,2
28,0.0001365650678053,7.786496280459687e-05,3.412567821214907e-05,0.0002935305819846,0.0001171261246781,2161292,2024-02-17,2
81,0.0002238670858787,0.0002594048273749,-0.0002760381321422,0.0009661804069764,0.0002184508921345,2161292,2024-02-18,2
42,0.0002862075343728,0.0001537791831651,6.462523015215993e-05,0.000571672047954,0.0002473462664056,2161292,2024-02-19,2
35,0.000207598786801,0.000136016315082,2.801117989292834e-05,0.0005786824040114,0.0001558746444061,2161292,2024-02-20,2
45,0.0002167474740417,8.210229862015694e-05,6.964512431295589e-05,0.0004032283613923,0.00020884074911,2161292,2024-02-21,2
0,,,,,,2161292,2024-02-22,2
0,,,,,,2161292,2024-02-23,2
0,,,,,,2161292,2024-02-24,2
0,,,,,,2161292,2024-02-25,2
0,,,,,,2161292,2024-02-26,2
0,,,,,,2161292,2024-02-27,2
0,,,,,,2161292,2024-02-28,2
0,,,,,,2161292,2024-02-29,2
0,,,,,,2161292,2024-03-01,3
42,0.0001315305999014,7.67067467677407e-05,-1.75049521544679e-07,0.0003382386057637,0.0001273925881832,2161292,2024-03-02,3
7,0.0001776167337084,4.002191053587012e-05,0.0001161126347142,0.0002301256754435,0.0001790632813936,2161292,2024-03-03,3
6,0.0003364611184224,2.8243955966900103e-05,0.000280274747638,0.0003587007231544,0.0003483047476038,2161292,2024-03-04,3
145,0.0002908869064413,0.0001906187098938,-0.0001370677637169,0.0007719696732237,0.0003089742385782,2161292,2024-03-05,3
102,0.0002612785028759,8.883359987521544e-05,8.89464354258962e-05,0.0004944616230204,0.0002473272033967,2161292,2024-03-06,3
14,0.0001452724827686,5.620729280053638e-05,3.903028118656948e-05,0.0002660885511431,0.0001482114894315,2161292,2024-03-07,3
0,,,,,,2161292,2024-03-08,3
0,,,,,,2161292,2024-03-09,3
0,,,,,,2161292,2024-03-10,3
141,0.0002248915989184,0.0001194178548757,-5.147944466443733e-05,0.000663272337988,0.0002215405693277,2161292,2024-03-11,3
0,,,,,,2161292,2024-03-15,3
3,0.0001738560822559,0.0,0.0001738560822559,0.0001738560822559,0.0001738560822559,2161292,2024-03-16,3
0,,,,,,2161292,2024-03-17,3
0,,,,,,2161292,2024-03-18,3
0,,,,,,2161292,2024-03-19,3
0,,,,,,2161292,2024-03-20,3
142,0.0001772704563336,0.0001235958188772,-0.0001336860732408,0.0004599870881065,0.0001737609418341,2161292,2024-03-21,3
0,,,,,,2161292,2024-03-22,3
0,,,,,,2161292,2024-03-23,3
0,,,,,,2161292,2024-03-24,3
136,0.0001993203768506,7.062935037538409e-05,5.895223512197845e-05,0.0004442962817847,0.0001905034878291,2161292,2024-03-25,3
16,0.0001180596445919,9.500989835942164e-05,-4.974578587280121e-06,0.0002402859390713,8.40545108076185e-05,2161292,2024-03-26,3
65,0.0002804303367156,0.0001419115433236,4.391171387396753e-05,0.0005194122786633,0.0003033962566405,2161292,2024-03-27,3
0,,,,,,2161292,2024-03-28,3
2,0.0001173235068563,4.774886838276871e-05,6.957463483558968e-05,0.0001650723716011,0.0001173235068563,2161292,2024-03-29,3
15,0.0002492286148481,9.290665184380488e-05,9.845498425420374e-06,0.0003825695894192,0.0002342268126085,2161292,2024-03-30,3
156,0.000432435714174,0.0001802093611331,0.0001720043219393,0.0009438704000785,0.0004007485986221,2161292,2024-03-31,3
156,0.0004510967410169,0.0002151660446543,-1.916845576488413e-05,0.0010439489269629,0.0004399845201987,2161292,2024-04-01,4
156,0.0004995762137696,0.0001429404946975,3.5445747926132753e-05,0.0008703643688932,0.0005178917781449,2161292,2024-04-02,4
156,0.0005729779950343,0.0001434479781892,0.0002316190220881,0.0009852688526734,0.0005764900706708,2161292,2024-04-03,4
52,0.0003110279503744,7.854113209759817e-05,0.0001482418156228,0.0007284753373824,0.0003101316979154,2161292,2024-04-04,4
8,0.0004636855737771,5.136317486176267e-05,0.0003934148699045,0.0005472740740515,0.0004747330094687,2161292,2024-04-05,4
27,0.000275129918009,0.0001056527980836,8.050012547755614e-05,0.0004461572389118,0.0002963648585136,2161292,2024-04-06,4
0,,,,,,2161292,2024-04-07,4
0,,,,,,2161292,2024-04-08,4
0,,,,,,2161292,2024-04-09,4
0,,,,,,2161292,2024-04-10,4
12,0.0002164933102903,1.4634279068559408e-05,0.0001968648139154,0.0002362267987336,0.0002209672675235,2161292,2024-04-11,4
30,0.000210958358366,4.475477908272296e-05,0.0001489492278778,0.000293609482469,0.0001938079076353,2161292,2024-04-12,4
15,0.0001295277761528,0.0001181283514597,-0.0002765411045402,0.0002278170868521,0.0001353330299025,2161292,2024-04-13,4
6,0.0002972390793729,4.868232281296514e-05,0.0002446383005008,0.0003855334362015,0.0002887370646931,2161292,2024-04-14,4
0,,,,,,2161292,2024-04-15,4
156,0.0002752641739789,0.0001094235703931,-4.680170968640596e-05,0.0005922357668168,0.000279416271951,2161292,2024-04-16,4
43,0.0002157084672944,8.423135295743123e-05,3.399519846425392e-05,0.0004726233601104,0.0002033408818533,2161292,2024-04-17,4
156,0.0003592783177737,0.0001136265345849,-1.012558368529426e-05,0.000577291008085,0.0003584315127227,2161292,2024-04-18,4
54,0.0004192216438241,0.0001364301278954,0.0002216208376921,0.0008686336223036,0.0004178197705186,2161292,2024-04-19,4
156,0.0004074087191838,0.00011672583787,8.082417480181903e-05,0.0007037236937321,0.0004030918935313,2161292,2024-04-20,4
156,0.000330209673848,0.0001202477214974,7.162903057178482e-05,0.0006115306750871,0.000328967696987,2161292,2024-04-26,4
156,0.0003216604527551,0.0001196318044094,4.151976099819876e-05,0.0006119267200119,0.0003384198062121,2161292,2024-04-27,4
156,0.0004279519780538,0.0001327140344073,6.883246533107013e-05,0.0007668119505979,0.0004235590749885,2161292,2024-04-28,4
156,0.0005082478746771,0.0001215178272104,0.0002439871750539,0.0007938090129755,0.0005040474934503,2161292,2024-04-29,4
156,0.0005924573633819,0.00012282114767,0.0002815291809383,0.0009178086183965,0.0005957112298347,2161292,2024-04-30,4
0,,,,,,2161292,2024-05-01,5
0,,,,,,2161292,2024-05-02,5
0,,,,,,2161292,2024-05-03,5
153,0.0002229835081379,0.0001112877653213,3.22691812471021e-05,0.0006034407997503,0.0001962861861102,2161292,2024-05-04,5
14,0.0002396145282546,5.5776024964870885e-05,0.0001252668153028,0.0003286674618721,0.0002432425681035,2161292,2024-05-05,5
26,0.000177097186679,7.624604040756822e-05,5.299907934386283e-05,0.0003023742174264,0.0001635514199733,2161292,2024-05-06,5
0,,,,,,2161292,2024-05-07,5
20,8.419233927270398e-05,0.0001322326861554,-0.0001106510899262,0.0003712554462254,8.182038436643779e-05,2161292,2024-05-08,5
47,0.0001128307994804,4.948239802615717e-05,1.0293154446117114e-05,0.0002242748450953,0.0001119062071666,2161292,2024-05-09,5
61,0.0001878375478554,9.641437645768748e-05,2.766683064692188e-05,0.0004686539759859,0.0001768743823049,2161292,2024-05-10,5
100,0.0002345858956687,0.0001030850980896,-8.433160473941825e-06,0.0005320970667526,0.0002090350026264,2161292,2024-05-11,5
70,0.000237702843151,0.0001008523031487,-5.749202955485089e-06,0.0005983582232147,0.0002294233127031,2161292,2024-05-12,5
0,,,,,,2161292,2024-05-13,5
109,0.0001831554254749,6.950474926270545e-05,4.4301235902821645e-05,0.0003863992169499,0.0001787252695066,2161292,2024-05-14,5
0,,,,,,2161292,2024-05-15,5
17,0.0001611881307326,0.000103147169284,1.3347847925615495e-05,0.000330367416609,0.0001689411437837,2161292,2024-05-16,5
11,0.0001793017581803,4.755580448545516e-05,8.638787403469905e-05,0.0002349163987673,0.0001766536006471,2161292,2024-05-17,5
1,0.000453980610473,0.0,0.000453980610473,0.000453980610473,0.000453980610473,2161292,2024-05-18,5
21,0.0004407666274346,0.000219449008,-0.0002166290360037,0.0006846446194685,0.0004854388535022,2161292,2024-05-19,5
0,,,,,,2161292,2024-05-20,5
71,0.0002675341384019,0.0001211359121953,5.8681955124484375e-05,0.0005391780287027,0.0002350773429498,2161292,2024-05-21,5
45,0.0002240536705357,8.516697562299669e-05,1.6528825653949752e-05,0.0004255782696418,0.0001992253673961,2161292,2024-05-22,5
2,0.0001585145655553,2.671874972293153e-05,0.0001317958085564,0.0001852333080023,0.0001585145655553,2161292,2024-05-23,5
77,0.0001599562674527,8.684472413733602e-05,-4.1776169382501394e-05,0.0003943234041798,0.0001543615944683,2161292,2024-05-24,5
0,,,,,,2161292,2024-05-25,5
104,0.000132382279844,0.0001345571217825,-0.0002063743013422,0.0004719301941804,0.0001399457687512,2161292,2024-05-26,5
134,0.0002082362188957,0.0001173509372165,-0.0001591625477885,0.0005204925546422,0.000213127117604,2161292,2024-06-02,6
106,0.000267617724603,0.0001481304789194,5.199368024477735e-05,0.000703910482116,0.000242740905378,2161292,2024-06-03,6
6,0.0002805681724566,0.0001448011316824,0.0001423404901288,0.0004805288044735,0.0002188352518714,2161292,2024-06-04,6
0,,,,,,2161292,2024-06-05,6
2,-4.257518594386056e-05,6.539734022226185e-05,-0.0001079725188901,2.282215064042248e-05,-4.257518594386056e-05,2161292,2024-06-06,6
6,0.0001515322801424,0.0001149510499089,-5.273616625345312e-05,0.0003268143336754,0.0001754738186718,2161292,2024-06-07,6
0,,,,,,2161292,2024-06-08,6
0,,,,,,2161292,2024-06-09,6
0,,,,,,2161292,2024-06-10,6
79,0.000222391434363,0.0001244294835487,-5.706316733267158e-05,0.0005536954267881,0.0002283079375047,2161292,2024-06-11,6
123,0.0002162559394491,0.0001329182705376,-0.0001382312329951,0.0006335044745355,0.0001913888409035,2161292,2024-06-12,6
126,0.0001804325729608,0.0001607022859388,-0.0001837220188463,0.0005525960004888,0.0001697173574939,2161292,2024-06-13,6
17,0.000256380677456,0.0002158077259082,-9.437162952963264e-05,0.0005544271552935,0.0002067502646241,2161292,2024-06-14,6
0,,,,,,2161292,2024-06-15,6
98,0.0003119385219179,0.0001191426781588,8.035783685045317e-05,0.0005704356008209,0.0002997417468577,2161292,2024-06-16,6
154,0.0002967620966956,0.0001263556769117,-1.778399382601492e-05,0.0006349291070364,0.0002990368520841,2161292,2024-06-17,6
99,0.0003609001287259,0.0001471565628889,-2.330145434825681e-06,0.0007304719183593,0.0003717281797435,2161292,2024-06-18,6
156,0.0003080239985138,0.0001294852991122,5.41376939509064e-05,0.0007108766585588,0.0002782107912935,2161292,2024-06-19,6
76,0.0003960283647757,0.0002244398783659,-8.854951738612726e-05,0.0008998516132123,0.0004269912606105,2161292,2024-06-20,6
5,0.0005913288332521,0.0002499139809515,0.0001206179222208,0.0007876579184085,0.0007030873093754,2161292,2024-06-21,6
76,0.0002595833211671,0.0001539884833618,-0.0001946400152519,0.0006243903189897,0.0002628165239002,2161292,2024-06-22,6
16,0.0003180565254297,0.0001112760364776,0.0002037432423094,0.0005646946956403,0.0002621139865368,2161292,2024-06-23,6
0,,,,,,2161292,2024-06-24,6
0,,,,,,2161292,2024-06-25,6
0,,,,,,2161292,2024-06-26,6
88,0.0001481213257648,0.0001064075331669,-7.119553629308939e-05,0.0005457530496641,0.0001298112620133,2161292,2024-06-27,6
46,0.0002687766682356,0.0001604169956408,-2.1016645405325107e-05,0.0006987233646214,0.0002527006145101,2161292,2024-06-28,6
69,0.0004342177999205,0.0001758496946422,0.0001569916639709,0.0008465231512673,0.0004234877706039,2161292,2024-06-29,6
4,0.0004585243586916,0.0001007042446872,0.0003578200994525,0.0005592285888269,0.0004585243295878,2161292,2024-06-30,6
0,,,,,,2161292,2024-07-01,7
8,0.0003773095959331,0.0001422592322342,0.0001801631442504,0.0005656190332956,0.0004471032007131,2161292,2024-07-02,7
0,,,,,,2161292,2024-07-03,7
