location_id,date,aod_mean
18,2021-01-04,
2539,2021-01-04,
7441,2021-01-04,
307169,2021-01-04,
1285357,2021-01-04,
2161290,2021-01-04,
2161291,2021-01-04,
2161292,2021-01-04,
2161293,2021-01-04,
2161294,2021-01-04,
2161295,2021-01-04,
2161296,2021-01-04,
2161298,2021-01-04,
2161299,2021-01-04,
2161300,2021-01-04,
2161301,2021-01-04,
2161303,2021-01-04,
2161304,2021-01-04,
2161306,2021-01-04,
2161307,2021-01-04,
2161308,2021-01-04,
2161309,2021-01-04,
2161313,2021-01-04,
2161314,2021-01-04,
2161315,2021-01-04,
2161316,2021-01-04,
2161318,2021-01-04,
2161320,2021-01-04,
2161321,2021-01-04,
2161322,2021-01-04,
4946811,2021-01-04,
4946812,2021-01-04,
4946813,2021-01-04,
6123215,2021-01-04,
18,2021-01-06,
2539,2021-01-06,
7441,2021-01-06,
307169,2021-01-06,
1285357,2021-01-06,
2161290,2021-01-06,
2161291,2021-01-06,
2161292,2021-01-06,
2161293,2021-01-06,
2161294,2021-01-06,
2161295,2021-01-06,
2161296,2021-01-06,
2161298,2021-01-06,
2161299,2021-01-06,
2161300,2021-01-06,
2161301,2021-01-06,
2161303,2021-01-06,
2161304,2021-01-06,
2161306,2021-01-06,
2161307,2021-01-06,
2161308,2021-01-06,
2161309,2021-01-06,
2161313,2021-01-06,
2161314,2021-01-06,
2161315,2021-01-06,
2161316,2021-01-06,
2161318,2021-01-06,
2161320,2021-01-06,
2161321,2021-01-06,
2161322,2021-01-06,
4946811,2021-01-06,
4946812,2021-01-06,
4946813,2021-01-06,
6123215,2021-01-06,
18,2021-01-09,
2539,2021-01-09,
7441,2021-01-09,
307169,2021-01-09,
1285357,2021-01-09,
2161290,2021-01-09,
2161291,2021-01-09,
2161292,2021-01-09,
2161293,2021-01-09,
2161294,2021-01-09,
2161295,2021-01-09,
2161296,2021-01-09,
2161298,2021-01-09,
2161299,2021-01-09,
2161300,2021-01-09,
2161301,2021-01-09,
2161303,2021-01-09,
2161304,2021-01-09,
2161306,2021-01-09,
2161307,2021-01-09,
2161308,2021-01-09,
2161309,2021-01-09,
2161313,2021-01-09,
2161314,2021-01-09,
2161315,2021-01-09,
2161316,2021-01-09,
2161318,2021-01-09,
2161320,2021-01-09,
2161321,2021-01-09,
2161322,2021-01-09,
4946811,2021-01-09,
4946812,2021-01-09,
4946813,2021-01-09,
6123215,2021-01-09,
18,2021-01-08,
2539,2021-01-08,
7441,2021-01-08,
307169,2021-01-08,
1285357,2021-01-08,
2161290,2021-01-08,
2161291,2021-01-08,
2161292,2021-01-08,
2161293,2021-01-08,
2161294,2021-01-08,
2161295,2021-01-08,
2161296,2021-01-08,
2161298,2021-01-08,
2161299,2021-01-08,
2161300,2021-01-08,
2161301,2021-01-08,
2161303,2021-01-08,
2161304,2021-01-08,
2161306,2021-01-08,
2161307,2021-01-08,
2161308,2021-01-08,
2161309,2021-01-08,
2161313,2021-01-08,
2161314,2021-01-08,
2161315,2021-01-08,
2161316,2021-01-08,
2161318,2021-01-08,
2161320,2021-01-08,
2161321,2021-01-08,
2161322,2021-01-08,
4946811,2021-01-08,
4946812,2021-01-08,
4946813,2021-01-08,
6123215,2021-01-08,
18,2021-01-05,
2539,2021-01-05,
7441,2021-01-05,
307169,2021-01-05,
1285357,2021-01-05,
2161290,2021-01-05,
2161291,2021-01-05,
2161292,2021-01-05,
2161293,2021-01-05,
2161294,2021-01-05,
2161295,2021-01-05,
2161296,2021-01-05,
2161298,2021-01-05,
2161299,2021-01-05,
2161300,2021-01-05,
2161301,2021-01-05,
2161303,2021-01-05,
2161304,2021-01-05,
2161306,2021-01-05,
2161307,2021-01-05,
2161308,2021-01-05,
2161309,2021-01-05,
2161313,2021-01-05,
2161314,2021-01-05,
2161315,2021-01-05,
2161316,2021-01-05,
2161318,2021-01-05,
2161320,2021-01-05,
2161321,2021-01-05,
2161322,2021-01-05,
4946811,2021-01-05,
4946812,2021-01-05,
4946813,2021-01-05,
6123215,2021-01-05,
18,2021-01-07,
2539,2021-01-07,
7441,2021-01-07,
307169,2021-01-07,
1285357,2021-01-07,
2161290,2021-01-07,
2161291,2021-01-07,
2161292,2021-01-07,
2161293,2021-01-07,
2161294,2021-01-07,
2161295,2021-01-07,
2161296,2021-01-07,
2161298,2021-01-07,
2161299,2021-01-07,
2161300,2021-01-07,
2161301,2021-01-07,
2161303,2021-01-07,
2161304,2021-01-07,
2161306,2021-01-07,
2161307,2021-01-07,
2161308,2021-01-07,
2161309,2021-01-07,
2161313,2021-01-07,
2161314,2021-01-07,
2161315,2021-01-07,
2161316,2021-01-07,
2161318,2021-01-07,
2161320,2021-01-07,
2161321,2021-01-07,
2161322,2021-01-07,
4946811,2021-01-07,
4946812,2021-01-07,
4946813,2021-01-07,
6123215,2021-01-07,
18,2021-01-02,0.5992484962887127
2539,2021-01-02,0.6358366036389582
7441,2021-01-02,0.6357781778148058
307169,2021-01-02,0.6115296067029325
1285357,2021-01-02,0.5996751470212223
2161290,2021-01-02,0.5539385328876124
2161291,2021-01-02,0.6005402350587647
2161292,2021-01-02,0.6457591522157996
2161293,2021-01-02,0.5366481638617826
2161294,2021-01-02,0.5757869431213222
2161295,2021-01-02,0.5771577351848229
2161296,2021-01-02,0.5706559143011464
2161298,2021-01-02,0.5779559802639398
2161299,2021-01-02,0.5708238760788356
2161300,2021-01-02,0.5858056535092705
2161301,2021-01-02,0.6583007202881153
2161303,2021-01-02,0.6352596291390729
2161304,2021-01-02,0.6048141141528925
2161306,2021-01-02,0.5754854607250756
2161307,2021-01-02,0.6209720110220954
2161308,2021-01-02,0.5932789916440833
2161309,2021-01-02,0.6232253192592243
2161313,2021-01-02,0.618779670225834
2161314,2021-01-02,0.5830874732819484
2161315,2021-01-02,0.6028163606403013
2161316,2021-01-02,0.6407595907182834
2161318,2021-01-02,0.5449175932441942
2161320,2021-01-02,0.3906782471656395
2161321,2021-01-02,0.6425505062396986
2161322,2021-01-02,0.5372957372612296
4946811,2021-01-02,0.5268472783749136
4946812,2021-01-02,0.652987592168828
4946813,2021-01-02,0.6278954766164069
6123215,2021-01-02,0.49845599660969064
18,2021-01-11,
2539,2021-01-11,
7441,2021-01-11,
307169,2021-01-11,
1285357,2021-01-11,
2161290,2021-01-11,
2161291,2021-01-11,
2161292,2021-01-11,
2161293,2021-01-11,
2161294,2021-01-11,
2161295,2021-01-11,
2161296,2021-01-11,
2161298,2021-01-11,
2161299,2021-01-11,
2161300,2021-01-11,
2161301,2021-01-11,
2161303,2021-01-11,
2161304,2021-01-11,
2161306,2021-01-11,
2161307,2021-01-11,
2161308,2021-01-11,
2161309,2021-01-11,
2161313,2021-01-11,
2161314,2021-01-11,
2161315,2021-01-11,
2161316,2021-01-11,
2161318,2021-01-11,
2161320,2021-01-11,
2161321,2021-01-11,
2161322,2021-01-11,
4946811,2021-01-11,
4946812,2021-01-11,
4946813,2021-01-11,
6123215,2021-01-11,
18,2021-01-03,0.7286601638943248
2539,2021-01-03,0.732314345991561
7441,2021-01-03,0.7322473617560152
307169,2021-01-03,0.7618185134205094
1285357,2021-01-03,0.7284702791862666
2161290,2021-01-03,0.6236035124064222
2161291,2021-01-03,0.6689588352923962
2161292,2021-01-03,0.7008000636739891
2161293,2021-01-03,0.657124216282468
2161294,2021-01-03,0.7726742844784082
2161295,2021-01-03,0.7586653904227784
2161296,2021-01-03,0.780987444859179
2161298,2021-01-03,0.7759643137871404
2161299,2021-01-03,0.7860649954421149
2161300,2021-01-03,0.7685590715829094
2161301,2021-01-03,0.7097683373493976
2161303,2021-01-03,0.7348449252136753
2161304,2021-01-03,0.7672764633528688
2161306,2021-01-03,0.6436408795555136
2161307,2021-01-03,0.672314964937584
2161308,2021-01-03,0.7024480474384315
2161309,2021-01-03,0.6916684416380003
2161313,2021-01-03,0.7288633815423753
2161314,2021-01-03,0.7304880063156615
2161315,2021-01-03,0.6421366760828626
2161316,2021-01-03,0.7238454176334104
2161318,2021-01-03,0.7839022942241899
2161320,2021-01-03,0.6273991487594729
2161321,2021-01-03,0.6807750412055569
2161322,2021-01-03,0.7085642968051566
4946811,2021-01-03,0.7995113972955571
4946812,2021-01-03,0.6918311242022583
4946813,2021-01-03,0.7372675338189387
6123215,2021-01-03,0.7802938858695653
18,2021-01-10,
2539,2021-01-10,
7441,2021-01-10,
307169,2021-01-10,
1285357,2021-01-10,
2161290,2021-01-10,
2161291,2021-01-10,
2161292,2021-01-10,
2161293,2021-01-10,
2161294,2021-01-10,
2161295,2021-01-10,
2161296,2021-01-10,
2161298,2021-01-10,
2161299,2021-01-10,
2161300,2021-01-10,
2161301,2021-01-10,
2161303,2021-01-10,
2161304,2021-01-10,
2161306,2021-01-10,
2161307,2021-01-10,
2161308,2021-01-10,
2161309,2021-01-10,
2161313,2021-01-10,
2161314,2021-01-10,
2161315,2021-01-10,
2161316,2021-01-10,
2161318,2021-01-10,
2161320,2021-01-10,
2161321,2021-01-10,
2161322,2021-01-10,
4946811,2021-01-10,
4946812,2021-01-10,
4946813,2021-01-10,
6123215,2021-01-10,
18,2021-01-01,0.3556604888847023
2539,2021-01-01,0.3654756344460662
7441,2021-01-01,0.36546270659697677
307169,2021-01-01,0.36441236045032727
1285357,2021-01-01,0.35570528273459207
2161290,2021-01-01,0.3308363152690805
2161291,2021-01-01,0.34509966574078427
2161292,2021-01-01,0.3624255369253956
2161293,2021-01-01,0.3577873473813229
2161294,2021-01-01,0.3564951273480531
2161295,2021-01-01,0.35884764282013853
2161296,2021-01-01,0.3557908859806044
2161298,2021-01-01,0.3572191648620657
2161299,2021-01-01,0.3567905306775909
2161300,2021-01-01,0.3584261804999763
2161301,2021-01-01,0.36910421473981636
2161303,2021-01-01,0.365819010171407
2161304,2021-01-01,0.36359816889474655
2161306,2021-01-01,0.33591232696110757
2161307,2021-01-01,0.35129393069027215
2161308,2021-01-01,0.34911265715496537
2161309,2021-01-01,0.36016895999246046
2161313,2021-01-01,0.36529829023597565
2161314,2021-01-01,0.3517432222536006
2161315,2021-01-01,0.3442259416195857
2161316,2021-01-01,0.364953680591532
2161318,2021-01-01,0.3451540507461283
2161320,2021-01-01,0.2860618854965422
2161321,2021-01-01,0.35668813279962314
2161322,2021-01-01,0.3291626593892626
4946811,2021-01-01,0.33580841143503043
4946812,2021-01-01,0.3622432852700029
4946813,2021-01-01,0.3645756876412961
6123215,2021-01-01,0.3238979140179875
18,2021-01-13,0.574368992248062
2539,2021-01-13,0.5567367970463912
7441,2021-01-13,0.5569013485310643
307169,2021-01-13,0.5453230633331548
1285357,2021-01-13,0.574307059263614
2161290,2021-01-13,0.539372027873252
2161291,2021-01-13,0.5884862002567394
2161292,2021-01-13,0.5653205845771144
2161293,2021-01-13,0.4961846744920566
2161294,2021-01-13,0.5306327065584512
2161295,2021-01-13,0.5252785955082855
2161296,2021-01-13,0.5322837985342272
2161298,2021-01-13,0.5327516384063248
2161299,2021-01-13,0.5355668348380244
2161300,2021-01-13,0.5327582650972363
2161301,2021-01-13,0.5491266239969431
2161303,2021-01-13,0.543193393408344
2161304,2021-01-13,0.5463068364181018
2161306,2021-01-13,0.6010962896694604
2161307,2021-01-13,0.5776251494619371
2161308,2021-01-13,0.5927406442444341
2161309,2021-01-13,0.5037002497526035
2161313,2021-01-13,0.5272913899486601
2161314,2021-01-13,0.579659076399234
2161315,2021-01-13,0.5533818738229755
2161316,2021-01-13,0.5589356815517428
2161318,2021-01-13,0.53140870914246
2161320,2021-01-13,0.4867854824293173
2161321,2021-01-13,0.5380787143866257
2161322,2021-01-13,0.606627134992707
4946811,2021-01-13,0.5178831394794544
4946812,2021-01-13,0.5602389630138329
4946813,2021-01-13,0.537772197113282
6123215,2021-01-13,0.4774037057964873
18,2021-01-15,
2539,2021-01-15,
7441,2021-01-15,
307169,2021-01-15,
1285357,2021-01-15,
2161290,2021-01-15,
2161291,2021-01-15,
2161292,2021-01-15,
2161293,2021-01-15,
2161294,2021-01-15,
2161295,2021-01-15,
2161296,2021-01-15,
2161298,2021-01-15,
2161299,2021-01-15,
2161300,2021-01-15,
2161301,2021-01-15,
2161303,2021-01-15,
2161304,2021-01-15,
2161306,2021-01-15,
2161307,2021-01-15,
2161308,2021-01-15,
2161309,2021-01-15,
2161313,2021-01-15,
2161314,2021-01-15,
2161315,2021-01-15,
2161316,2021-01-15,
2161318,2021-01-15,
2161320,2021-01-15,
2161321,2021-01-15,
2161322,2021-01-15,
4946811,2021-01-15,
4946812,2021-01-15,
4946813,2021-01-15,
6123215,2021-01-15,
18,2021-01-12,0.37697222522425156
2539,2021-01-12,0.4129082549072331
7441,2021-01-12,0.4128175559380378
307169,2021-01-12,0.40457441380807635
1285357,2021-01-12,0.37721107210369975
2161290,2021-01-12,0.3728843045512548
2161291,2021-01-12,0.3697714024184612
2161292,2021-01-12,0.41239424572317257
2161293,2021-01-12,0.4396451744921497
2161294,2021-01-12,0.3845635646032406
2161295,2021-01-12,0.38511067646216973
2161296,2021-01-12,0.3793724108703713
2161298,2021-01-12,0.38462092297933087
2161299,2021-01-12,0.37814277254374146
2161300,2021-01-12,0.39020302713987476
2161301,2021-01-12,0.4255290933694182
2161303,2021-01-12,0.41367394789579154
2161304,2021-01-12,0.3991997396821953
2161306,2021-01-12,0.3465086166305678
2161307,2021-01-12,0.38514755426775366
2161308,2021-01-12,0.3688205651491364
2161309,2021-01-12,0.3869178819269838
2161313,2021-01-12,0.4018019641090859
2161314,2021-01-12,0.36673565264293406
2161315,2021-01-12,0.3811604479390041
2161316,2021-01-12,0.4139702816826127
2161318,2021-01-12,0.34121320099793895
2161320,2021-01-12,0.24160582396387073
2161321,2021-01-12,0.42641814657029337
2161322,2021-01-12,0.31810534983296473
4946811,2021-01-12,0.3425811044003451
4946812,2021-01-12,0.4192130038246544
4946813,2021-01-12,0.40914893512127776
6123215,2021-01-12,0.3228314027405001
18,2021-01-17,
2539,2021-01-17,
7441,2021-01-17,
307169,2021-01-17,
1285357,2021-01-17,
2161290,2021-01-17,
2161291,2021-01-17,
2161292,2021-01-17,
2161293,2021-01-17,
2161294,2021-01-17,
2161295,2021-01-17,
2161296,2021-01-17,
2161298,2021-01-17,
2161299,2021-01-17,
2161300,2021-01-17,
2161301,2021-01-17,
2161303,2021-01-17,
2161304,2021-01-17,
2161306,2021-01-17,
2161307,2021-01-17,
2161308,2021-01-17,
2161309,2021-01-17,
2161313,2021-01-17,
2161314,2021-01-17,
2161315,2021-01-17,
2161316,2021-01-17,
2161318,2021-01-17,
2161320,2021-01-17,
2161321,2021-01-17,
2161322,2021-01-17,
4946811,2021-01-17,
4946812,2021-01-17,
4946813,2021-01-17,
6123215,2021-01-17,
18,2021-01-14,0.890303953500025
2539,2021-01-14,0.8594835453816869
7441,2021-01-14,0.8596878569281633
307169,2021-01-14,0.8543576225318231
1285357,2021-01-14,0.8901904427970353
2161290,2021-01-14,0.9132513771834835
2161291,2021-01-14,0.902034515232848
2161292,2021-01-14,0.8740015748806538
2161293,2021-01-14,0.9622221515108662
2161294,2021-01-14,0.8344309826705394
2161295,2021-01-14,0.8294520799542029
2161296,2021-01-14,0.8415627034607099
2161298,2021-01-14,0.840750488305704
2161299,2021-01-14,0.8505883678990078
2161300,2021-01-14,0.8384361414404486
2161301,2021-01-14,0.8511892733063116
2161303,2021-01-14,0.847244899471422
2161304,2021-01-14,0.857451975562121
2161306,2021-01-14,0.8888585083341182
2161307,2021-01-14,0.9002496907412695
2161308,2021-01-14,0.9019976943831249
2161309,2021-01-14,0.844314075679751
2161313,2021-01-14,0.8277746455654467
2161314,2021-01-14,0.8936200991437585
2161315,2021-01-14,0.9126825800376648
2161316,2021-01-14,0.8614717406553758
2161318,2021-01-14,0.8628732221554489
2161320,2021-01-14,0.7749926847626664
2161321,2021-01-14,0.8924187897339297
2161322,2021-01-14,0.8499166235355009
4946811,2021-01-14,0.8219647914002931
4946812,2021-01-14,0.877824030821093
4946813,2021-01-14,0.8427342326902358
6123215,2021-01-14,0.7592847859867214
18,2021-01-21,
2539,2021-01-21,
7441,2021-01-21,
307169,2021-01-21,
1285357,2021-01-21,
2161290,2021-01-21,
2161291,2021-01-21,
2161292,2021-01-21,
2161293,2021-01-21,
2161294,2021-01-21,
2161295,2021-01-21,
2161296,2021-01-21,
2161298,2021-01-21,
2161299,2021-01-21,
2161300,2021-01-21,
2161301,2021-01-21,
2161303,2021-01-21,
2161304,2021-01-21,
2161306,2021-01-21,
2161307,2021-01-21,
2161308,2021-01-21,
2161309,2021-01-21,
2161313,2021-01-21,
2161314,2021-01-21,
2161315,2021-01-21,
2161316,2021-01-21,
2161318,2021-01-21,
2161320,2021-01-21,
2161321,2021-01-21,
2161322,2021-01-21,
4946811,2021-01-21,
4946812,2021-01-21,
4946813,2021-01-21,
6123215,2021-01-21,
18,2021-01-16,
2539,2021-01-16,
7441,2021-01-16,
307169,2021-01-16,
1285357,2021-01-16,
2161290,2021-01-16,
2161291,2021-01-16,
2161292,2021-01-16,
2161293,2021-01-16,
2161294,2021-01-16,
2161295,2021-01-16,
2161296,2021-01-16,
2161298,2021-01-16,
2161299,2021-01-16,
2161300,2021-01-16,
2161301,2021-01-16,
2161303,2021-01-16,
2161304,2021-01-16,
2161306,2021-01-16,
2161307,2021-01-16,
2161308,2021-01-16,
2161309,2021-01-16,
2161313,2021-01-16,
2161314,2021-01-16,
2161315,2021-01-16,
2161316,2021-01-16,
2161318,2021-01-16,
2161320,2021-01-16,
2161321,2021-01-16,
2161322,2021-01-16,
4946811,2021-01-16,
4946812,2021-01-16,
4946813,2021-01-16,
6123215,2021-01-16,
18,2021-01-20,
2539,2021-01-20,
7441,2021-01-20,
307169,2021-01-20,
1285357,2021-01-20,
2161290,2021-01-20,
2161291,2021-01-20,
2161292,2021-01-20,
2161293,2021-01-20,
2161294,2021-01-20,
2161295,2021-01-20,
2161296,2021-01-20,
2161298,2021-01-20,
2161299,2021-01-20,
2161300,2021-01-20,
2161301,2021-01-20,
2161303,2021-01-20,
2161304,2021-01-20,
2161306,2021-01-20,
2161307,2021-01-20,
2161308,2021-01-20,
2161309,2021-01-20,
2161313,2021-01-20,
2161314,2021-01-20,
2161315,2021-01-20,
2161316,2021-01-20,
2161318,2021-01-20,
2161320,2021-01-20,
2161321,2021-01-20,
2161322,2021-01-20,
4946811,2021-01-20,
4946812,2021-01-20,
4946813,2021-01-20,
6123215,2021-01-20,
18,2021-01-18,0.4077995185202842
2539,2021-01-18,0.4309228221502098
7441,2021-01-18,0.43080402249547217
307169,2021-01-18,0.4260171879469819
1285357,2021-01-18,0.40802637723980206
2161290,2021-01-18,0.41749785771458175
2161291,2021-01-18,0.42033683466792265
2161292,2021-01-18,0.4301359822662916
2161293,2021-01-18,0.4327986350574713
2161294,2021-01-18,0.41595015724768886
2161295,2021-01-18,0.42478064804785
2161296,2021-01-18,0.4131214799637869
