datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161290,An Khánh,21.0024,105.7181,631.1,8.7,,43.4,
2024-01-29 08:00:00+00:00,2161290,An Khánh,21.0024,105.7181,642.3,11.2,,42.9,
2024-01-29 22:00:00+00:00,2161290,An Khánh,21.0024,105.7181,934.2,15.7,,82.8,
2024-01-29 23:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1013.9,15.5,,76.4,
2024-01-30 00:00:00+00:00,2161290,An Khánh,21.0024,105.7181,868.2,14.4,,70.4,
2024-01-30 01:00:00+00:00,2161290,An Khánh,21.0024,105.7181,897.1,13.0,,74.0,
2024-01-30 02:00:00+00:00,2161290,An Khánh,21.0024,105.7181,971.4,13.5,,74.5,
2024-01-30 03:00:00+00:00,2161290,An Khánh,21.0024,105.7181,915.2,13.5,,64.7,
2024-01-30 04:00:00+00:00,2161290,An Khánh,21.0024,105.7181,895.2,14.5,,66.9,
2024-01-30 05:00:00+00:00,2161290,An Khánh,21.0024,105.7181,958.3,14.4,,72.1,
2024-01-30 06:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1002.1,19.2,,70.9,
2024-01-30 07:00:00+00:00,2161290,An Khánh,21.0024,105.7181,971.9,17.1,,76.4,
2024-01-30 08:00:00+00:00,2161290,An Khánh,21.0024,105.7181,957.6,15.9,,75.2,
2024-01-30 09:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1109.7,19.9,,81.4,
2024-01-30 10:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1177.7,21.9,,85.8,
2024-01-30 11:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1277.2,24.3,,82.7,
2024-01-30 12:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1580.4,28.6,,88.5,
2024-01-30 13:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1836.4,27.2,,94.6,
2024-01-30 14:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1869.7,25.9,,96.9,
2024-01-30 15:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1881.2,26.8,,99.5,
2024-01-30 16:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1722.1,29.0,,104.1,
2024-01-30 17:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1644.3,26.7,,98.4,
2024-01-30 18:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1451.9,23.1,,87.5,
2024-01-30 19:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1285.2,18.5,,85.7,
2024-01-30 20:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1154.2,14.9,,95.2,
2024-01-30 21:00:00+00:00,2161290,An Khánh,21.0024,105.7181,941.3,10.9,,80.4,
2024-01-30 22:00:00+00:00,2161290,An Khánh,21.0024,105.7181,675.5,8.9,,56.8,
2024-01-30 23:00:00+00:00,2161290,An Khánh,21.0024,105.7181,718.3,10.5,,55.1,
2024-01-31 00:00:00+00:00,2161290,An Khánh,21.0024,105.7181,731.5,11.8,,41.5,
2024-01-31 01:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1045.8,12.8,,37.2,
2024-01-31 02:00:00+00:00,2161290,An Khánh,21.0024,105.7181,763.5,10.6,,32.7,
2024-01-31 03:00:00+00:00,2161290,An Khánh,21.0024,105.7181,692.5,9.5,,35.5,
2024-01-31 04:00:00+00:00,2161290,An Khánh,21.0024,105.7181,851.7,11.0,,49.0,
2024-01-31 05:00:00+00:00,2161290,An Khánh,21.0024,105.7181,801.7,10.1,,44.6,
2024-01-31 06:00:00+00:00,2161290,An Khánh,21.0024,105.7181,801.5,8.4,,45.6,
2024-01-31 07:00:00+00:00,2161290,An Khánh,21.0024,105.7181,877.6,8.2,,50.4,
2024-01-31 08:00:00+00:00,2161290,An Khánh,21.0024,105.7181,960.7,9.0,,58.8,
2024-01-31 09:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1078.0,12.8,,66.3,
2024-01-31 10:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1432.5,16.7,,75.9,
2024-01-31 11:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1768.8,21.7,,87.2,
2024-01-31 12:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1903.7,22.8,,98.1,
2024-01-31 13:00:00+00:00,2161290,An Khánh,21.0024,105.7181,2133.2,26.9,,116.0,
2024-01-31 14:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1980.7,22.5,,129.4,
2024-01-31 15:00:00+00:00,2161290,An Khánh,21.0024,105.7181,2249.5,24.7,,133.0,
2024-01-31 16:00:00+00:00,2161290,An Khánh,21.0024,105.7181,2496.5,28.5,,136.0,
2024-01-31 17:00:00+00:00,2161290,An Khánh,21.0024,105.7181,2925.5,29.2,,144.4,
2024-01-31 18:00:00+00:00,2161290,An Khánh,21.0024,105.7181,2611.3,27.3,,141.0,
2024-01-31 19:00:00+00:00,2161290,An Khánh,21.0024,105.7181,2264.2,21.3,,136.1,
2024-01-31 20:00:00+00:00,2161290,An Khánh,21.0024,105.7181,2115.5,17.6,,133.2,
2024-01-31 21:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1838.7,15.2,,131.8,
2024-01-31 22:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1334.5,13.9,,126.5,
2024-01-31 23:00:00+00:00,2161290,An Khánh,21.0024,105.7181,1461.3,11.3,,81.6,
2024-02-02 15:00:00+00:00,2161290,An Khánh,21.0024,105.7181,388.7,9.5,,33.3,
2024-02-02 16:00:00+00:00,2161290,An Khánh,21.0024,105.7181,415.0,10.4,,37.3,
2024-02-02 17:00:00+00:00,2161290,An Khánh,21.0024,105.7181,471.6,10.4,,37.2,
2024-02-02 18:00:00+00:00,2161290,An Khánh,21.0024,105.7181,304.3,10.6,,32.5,
2024-02-02 19:00:00+00:00,2161290,An Khánh,21.0024,105.7181,222.7,9.0,,28.2,
2024-02-02 20:00:00+00:00,2161290,An Khánh,21.0024,105.7181,245.0,7.9,,32.7,
2024-02-02 21:00:00+00:00,2161290,An Khánh,21.0024,105.7181,279.6,7.6,,32.9,
2024-02-02 22:00:00+00:00,2161290,An Khánh,21.0024,105.7181,207.8,7.1,,23.1,
2024-02-02 23:00:00+00:00,2161290,An Khánh,21.0024,105.7181,295.4,7.4,,28.9,
2024-02-03 00:00:00+00:00,2161290,An Khánh,21.0024,105.7181,434.7,8.2,,35.2,
2024-02-03 01:00:00+00:00,2161290,An Khánh,21.0024,105.7181,751.6,9.2,,35.4,
2024-02-03 02:00:00+00:00,2161290,An Khánh,21.0024,105.7181,514.4,10.2,,35.8,
2024-02-03 03:00:00+00:00,2161290,An Khánh,21.0024,105.7181,567.2,11.3,,40.2,
2024-02-03 04:00:00+00:00,2161290,An Khánh,21.0024,105.7181,512.9,12.0,,39.0,
2024-02-03 05:00:00+00:00,2161290,An Khánh,21.0024,105.7181,406.5,9.2,,32.6,
2024-02-03 06:00:00+00:00,2161290,An Khánh,21.0024,105.7181,365.7,10.7,,29.3,
2024-02-03 07:00:00+00:00,2161290,An Khánh,21.0024,105.7181,309.9,10.9,,27.8,
2024-02-03 08:00:00+00:00,2161290,An Khánh,21.0024,105.7181,317.3,10.2,,26.8,
2024-02-03 09:00:00+00:00,2161290,An Khánh,21.0024,105.7181,367.4,8.6,,31.7,
2024-02-03 10:00:00+00:00,2161290,An Khánh,21.0024,105.7181,385.1,10.4,,32.0,
2024-02-03 11:00:00+00:00,2161290,An Khánh,21.0024,105.7181,479.0,10.9,,39.0,
2024-02-03 12:00:00+00:00,2161290,An Khánh,21.0024,105.7181,371.5,9.5,,28.6,
2024-02-03 13:00:00+00:00,2161290,An Khánh,21.0024,105.7181,373.3,9.8,,38.4,
2024-02-03 14:00:00+00:00,2161290,An Khánh,21.0024,105.7181,383.6,9.7,,36.5,
2024-02-03 15:00:00+00:00,2161290,An Khánh,21.0024,105.7181,504.0,9.3,,36.1,
2024-02-03 16:00:00+00:00,2161290,An Khánh,21.0024,105.7181,318.9,8.2,,31.2,
2024-02-03 17:00:00+00:00,2161290,An Khánh,21.0024,105.7181,242.6,7.5,,28.4,
2024-02-03 18:00:00+00:00,2161290,An Khánh,21.0024,105.7181,135.2,6.9,,27.0,
2024-02-03 19:00:00+00:00,2161290,An Khánh,21.0024,105.7181,70.8,6.8,,23.6,
2024-02-03 20:00:00+00:00,2161290,An Khánh,21.0024,105.7181,77.7,7.1,,24.1,
2024-02-03 21:00:00+00:00,2161290,An Khánh,21.0024,105.7181,90.9,7.9,,27.8,
2024-02-03 22:00:00+00:00,2161290,An Khánh,21.0024,105.7181,145.6,10.2,,35.2,
2024-02-03 23:00:00+00:00,2161290,An Khánh,21.0024,105.7181,179.4,11.6,,41.0,
2024-02-04 00:00:00+00:00,2161290,An Khánh,21.0024,105.7181,173.4,12.2,,40.8,
2024-02-04 01:00:00+00:00,2161290,An Khánh,21.0024,105.7181,386.5,13.7,,45.1,
2024-02-04 02:00:00+00:00,2161290,An Khánh,21.0024,105.7181,456.4,13.4,,47.8,
2024-02-04 03:00:00+00:00,2161290,An Khánh,21.0024,105.7181,376.6,11.8,,34.4,
2024-02-04 04:00:00+00:00,2161290,An Khánh,21.0024,105.7181,354.1,14.5,,31.7,
2024-02-04 05:00:00+00:00,2161290,An Khánh,21.0024,105.7181,485.5,12.1,,39.2,
2024-02-04 06:00:00+00:00,2161290,An Khánh,21.0024,105.7181,411.8,11.4,,33.4,
2024-02-04 07:00:00+00:00,2161290,An Khánh,21.0024,105.7181,318.1,11.1,,26.1,
2024-02-04 08:00:00+00:00,2161290,An Khánh,21.0024,105.7181,309.3,11.9,,20.7,
2024-02-04 09:00:00+00:00,2161290,An Khánh,21.0024,105.7181,374.0,13.1,,27.9,
2024-02-04 10:00:00+00:00,2161290,An Khánh,21.0024,105.7181,424.5,13.4,,34.3,
2024-02-04 11:00:00+00:00,2161290,An Khánh,21.0024,105.7181,463.3,8.2,,31.8,
2024-02-04 12:00:00+00:00,2161290,An Khánh,21.0024,105.7181,401.6,7.8,,27.3,
2024-02-04 13:00:00+00:00,2161290,An Khánh,21.0024,105.7181,324.7,7.5,,32.2,
2024-02-04 14:00:00+00:00,2161290,An Khánh,21.0024,105.7181,299.1,7.1,,34.2,
2024-02-04 15:00:00+00:00,2161290,An Khánh,21.0024,105.7181,306.8,7.4,,37.6,
2024-02-04 16:00:00+00:00,2161290,An Khánh,21.0024,105.7181,253.4,6.9,,35.5,
2024-02-04 17:00:00+00:00,2161290,An Khánh,21.0024,105.7181,152.5,6.3,,30.0,
2024-02-04 18:00:00+00:00,2161290,An Khánh,21.0024,105.7181,98.1,5.9,,31.8,
2024-02-04 19:00:00+00:00,2161290,An Khánh,21.0024,105.7181,101.6,6.2,,35.3,
2024-02-04 20:00:00+00:00,2161290,An Khánh,21.0024,105.7181,90.4,6.0,,35.9,
2024-02-04 21:00:00+00:00,2161290,An Khánh,21.0024,105.7181,58.6,5.9,,39.9,
2024-02-04 22:00:00+00:00,2161290,An Khánh,21.0024,105.7181,77.6,6.4,,34.8,
2024-02-04 23:00:00+00:00,2161290,An Khánh,21.0024,105.7181,141.3,8.4,,36.4,
2024-02-05 00:00:00+00:00,2161290,An Khánh,21.0024,105.7181,179.7,10.2,,30.3,
2024-02-05 01:00:00+00:00,2161290,An Khánh,21.0024,105.7181,354.1,9.9,,40.0,
2024-02-05 02:00:00+00:00,2161290,An Khánh,21.0024,105.7181,398.4,12.6,,30.5,
2024-02-05 03:00:00+00:00,2161290,An Khánh,21.0024,105.7181,483.8,11.3,,29.0,
2024-02-05 04:00:00+00:00,2161290,An Khánh,21.0024,105.7181,530.8,12.4,,30.1,
2024-02-05 05:00:00+00:00,2161290,An Khánh,21.0024,105.7181,531.3,11.7,,33.6,
2024-02-05 06:00:00+00:00,2161290,An Khánh,21.0024,105.7181,435.4,11.1,,35.6,
2024-02-05 07:00:00+00:00,2161290,An Khánh,21.0024,105.7181,413.3,11.3,,36.5,
2024-02-05 08:00:00+00:00,2161290,An Khánh,21.0024,105.7181,445.0,11.6,,38.3,
2024-02-05 09:00:00+00:00,2161290,An Khánh,21.0024,105.7181,492.6,7.7,,41.8,
2024-02-05 10:00:00+00:00,2161290,An Khánh,21.0024,105.7181,547.8,9.1,,36.6,
2024-02-05 11:00:00+00:00,2161290,An Khánh,21.0024,105.7181,636.0,9.7,,48.2,
2024-02-05 12:00:00+00:00,2161290,An Khánh,21.0024,105.7181,619.0,8.6,,52.3,
2024-02-05 13:00:00+00:00,2161290,An Khánh,21.0024,105.7181,581.2,8.1,,43.6,
2024-02-05 14:00:00+00:00,2161290,An Khánh,21.0024,105.7181,532.8,7.5,,37.3,
