datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-22 02:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,3001.4,48.9,,20.2,
2024-01-22 03:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1899.6,42.1,,28.9,
2024-09-16 01:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,,11.2,,,
2024-09-16 02:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1702.5,12.2,,,
2024-09-16 03:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1433.1,13.7,,,
2024-09-16 04:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1375.3,10.4,,8.5,
2024-09-16 05:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2287.1,14.1,,8.7,
2024-09-16 06:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1455.3,16.1,,10.1,
2024-09-16 07:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1186.7,6.5,,10.4,
2024-09-16 08:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1068.9,7.0,,10.2,
2024-09-16 09:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1679.5,10.6,,11.0,
2024-09-16 10:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2363.4,14.9,,11.4,
2024-09-16 11:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2719.6,18.2,,8.4,
2024-09-16 12:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,4180.7,22.7,,7.6,
2024-09-16 13:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,5080.1,22.1,,11.8,
2024-09-16 14:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,4994.9,20.6,,18.6,
2024-09-16 15:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,3520.7,14.9,,15.5,
2024-09-16 16:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,3674.2,16.2,,22.4,
2024-09-16 17:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,3465.4,13.7,,22.3,
2024-09-16 18:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1018.8,13.3,,20.0,
2024-09-16 19:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,439.4,5.1,,15.7,
2024-09-16 20:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,285.7,4.0,,9.7,
2024-09-16 21:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,260.5,2.6,,10.0,
2024-09-16 22:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,428.6,2.2,,11.2,
2024-09-16 23:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,895.6,3.3,,14.6,
2024-09-17 00:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2295.4,4.3,,16.3,
2024-09-17 01:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2793.5,10.6,,13.4,
2024-09-17 02:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1576.4,6.2,,13.7,
2024-09-17 03:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1120.2,11.1,,15.1,
2024-09-17 04:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,961.8,11.7,,13.6,
2024-09-17 05:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,990.1,14.4,,10.6,
2024-09-17 06:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1019.3,16.1,,10.0,
2024-09-17 07:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,725.6,8.8,,9.7,
2024-09-17 08:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,858.9,7.0,,16.4,
2024-09-17 09:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1184.2,7.0,,13.5,
2024-09-17 10:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1573.6,8.3,,14.9,
2024-09-17 11:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2271.6,10.3,,17.8,
2024-09-17 12:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2919.8,12.3,,25.6,
2024-09-17 13:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2252.1,8.4,,26.3,
2024-09-17 14:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2132.3,7.3,,32.3,
2024-09-17 15:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2165.2,6.8,,20.8,
2024-09-17 16:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1693.1,5.1,,13.8,
2024-09-17 17:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1068.4,3.8,,11.4,
2024-09-17 18:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,652.8,2.9,,13.1,
2024-09-17 19:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,513.0,2.1,,13.4,
2024-09-17 20:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,407.3,2.0,,12.7,
2024-09-17 21:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,330.6,2.3,,13.8,
2024-09-17 22:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,407.2,2.4,,14.2,
2024-09-17 23:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1344.4,2.7,,16.4,
2024-09-18 00:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,4657.0,2.3,,18.4,
2024-09-18 01:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,7237.5,3.1,,19.2,
2024-09-18 02:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,4965.0,8.0,,18.8,
2024-09-18 03:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2063.7,11.5,,18.2,
2024-09-18 04:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2020.4,15.7,,17.8,
2024-09-18 05:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1380.1,21.8,,17.2,
2024-09-18 06:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1163.5,14.1,,14.0,
2024-09-18 07:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,759.0,12.2,,12.0,
2024-09-18 08:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,639.8,3.7,,11.3,
2024-09-18 09:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1016.4,6.7,,13.6,
2024-09-18 10:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1526.2,11.7,,18.6,
2024-09-18 11:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2639.5,15.5,,19.7,
2024-09-18 12:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2643.8,18.7,,19.3,
2024-09-18 13:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,5040.0,22.2,,26.6,
2024-09-18 14:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,4176.7,16.2,,22.8,
2024-09-18 15:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,3126.5,10.9,,18.5,
2024-09-18 16:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2278.9,11.4,,19.0,
2024-09-18 17:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1924.0,13.9,,28.1,
2024-09-18 18:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1293.0,10.8,,26.5,
2024-09-18 19:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1002.4,16.3,,30.0,
2024-10-07 01:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,,10.1,,,
2024-10-07 02:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1554.6,9.2,,,
2024-10-07 03:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1709.9,10.8,,30.3,
2024-10-07 04:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1096.9,4.3,,27.6,
2024-10-07 05:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,879.1,3.4,,20.0,
2024-10-07 06:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,780.4,2.9,,17.8,
2024-10-07 07:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,622.6,2.6,,15.7,
2024-10-07 08:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,612.3,2.5,,20.6,
2024-10-07 09:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,689.3,2.6,,19.4,
2024-10-07 10:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,825.7,3.0,,15.2,
2024-10-07 11:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1102.5,4.4,,18.1,
2024-10-07 12:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1585.3,4.5,,20.5,
2024-10-07 13:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2330.8,5.8,,33.8,
2024-10-07 14:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2595.1,6.6,,57.0,
2024-10-07 15:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2085.8,5.8,,55.2,
2024-10-07 16:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1712.8,4.4,,50.4,
2024-10-07 17:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1697.3,4.5,,53.8,
2024-10-07 18:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1688.3,4.9,,64.3,
2024-10-07 19:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1601.2,4.4,,57.5,
2024-10-07 20:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1563.4,3.8,,46.1,
2024-10-07 21:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1386.7,4.3,,35.9,
2024-10-07 22:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1124.4,3.7,,29.7,
2024-10-07 23:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1038.4,3.6,,29.9,
2024-10-08 00:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1136.6,4.4,,30.8,
2024-10-08 01:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1549.7,4.7,,34.1,
2024-10-08 02:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1394.3,4.8,,34.7,
2024-10-08 03:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,955.4,4.1,,27.5,
2024-10-08 04:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,815.0,3.6,,25.1,
2024-10-08 05:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,668.1,4.4,,24.6,
2024-10-08 06:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,605.6,2.7,,23.1,
2024-10-08 07:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,621.6,2.2,,20.7,
2024-10-08 08:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,494.5,3.1,,21.9,
2024-10-08 09:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,653.6,3.0,,19.8,
2024-10-08 10:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,811.0,3.0,,17.7,
2024-10-08 11:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1108.9,3.3,,20.3,
2024-10-08 12:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1337.8,3.8,,25.4,
2024-10-08 13:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1382.4,3.7,,28.0,
2024-10-08 14:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1601.0,4.2,,32.1,
2024-10-08 15:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1481.5,4.3,,45.6,
2024-10-08 16:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1355.5,4.2,,47.7,
2024-10-08 17:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1259.8,4.4,,44.0,
2024-10-08 18:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1262.8,4.1,,42.3,
2024-10-08 19:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1196.1,4.0,,41.3,
2024-10-08 20:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1144.2,4.2,,40.1,
2024-10-08 21:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1147.7,4.0,,50.5,
2024-10-08 22:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1249.8,4.4,,66.4,
2024-10-08 23:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1374.6,4.3,,72.7,
2024-10-09 00:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1472.7,4.7,,63.7,
2024-10-09 01:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1777.2,5.3,,51.3,
2024-10-09 02:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1470.0,4.8,,39.4,
2024-10-09 03:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,976.4,3.8,,27.4,
2024-10-09 04:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,683.4,3.7,,22.4,
2024-10-09 05:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,583.0,3.4,,19.1,
2024-10-09 06:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,608.3,3.2,,18.2,
2024-10-09 07:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,603.8,3.2,,20.9,
2024-10-09 08:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,556.2,6.2,,22.4,
2024-10-09 09:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,637.0,3.4,,17.0,
2024-10-09 10:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,691.7,4.0,,22.3,
2024-10-09 11:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,838.9,4.8,,27.5,
2024-10-09 12:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1197.9,4.9,,36.6,
2024-10-09 13:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1724.0,5.5,,63.4,
2024-10-09 14:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1836.5,6.0,,65.5,
2024-10-09 15:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1876.5,6.3,,66.5,
2024-10-09 16:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2087.5,7.8,,76.1,
2024-10-09 17:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1885.4,6.6,,66.1,
2024-10-09 18:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1747.1,6.7,,63.0,
2024-10-09 19:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1549.5,7.4,,62.8,
2024-10-09 20:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1461.3,7.1,,63.5,
2024-10-09 21:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1365.1,6.7,,59.6,
2024-10-09 22:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1478.5,7.3,,68.7,
2024-10-09 23:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1668.5,6.4,,77.2,
2024-10-10 00:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1771.6,5.5,,77.8,
2024-10-10 01:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,2100.7,5.7,,89.1,
2024-10-10 02:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1922.0,6.6,,77.8,
2024-10-10 03:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1525.4,5.3,,62.7,
2024-10-10 04:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1245.1,4.7,,58.2,
2024-10-10 05:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1280.2,3.7,,64.4,
2024-10-10 06:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1038.7,3.4,,46.4,
2024-10-10 07:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,698.4,3.5,,29.2,
2024-10-10 08:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,645.6,3.7,,23.8,
2024-10-10 09:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,619.1,3.5,,21.3,
2024-10-10 10:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,674.4,3.4,,21.1,
2024-10-10 11:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,941.8,6.4,,53.1,
2024-10-10 12:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1171.1,7.2,,73.0,
2024-10-10 13:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1313.3,7.2,,70.8,
2024-10-10 14:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1469.4,8.9,,68.5,
2024-10-10 15:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1509.9,6.9,,67.1,
2024-10-10 16:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1334.1,5.0,,60.6,
2024-10-10 17:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,1094.1,4.9,,47.6,
2024-10-10 18:00:00+00:00,2161291,Cầu Diễn,21.0398,105.7652,966.8,5.7,,45.3,
