datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³,date,no2_valid_pixels,no2_mean,no2_std,no2_min,no2_max,no2_median,co_valid_pixels,co_mean,co_std,co_min,co_max,co_median,so2_valid_pixels,so2_mean,so2_std,so2_min,so2_max,so2_median,aer_ai_340_380_valid_pixels,aer_ai_340_380_mean,aer_ai_340_380_std,aer_ai_340_380_min,aer_ai_340_380_max,aer_ai_340_380_median,s2_valid_pixels,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_median,ndbi_mean,ndbi_std,ndbi_min,ndbi_max,ndbi_median,ndwi_mean,ndwi_std,ndwi_min,ndwi_max,ndwi_median
2024-01-29 17:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,748.2,,26.62,48.63,1.7,2024-01-29,0,,,,,,2,0.053624413907527924,0.0,0.053624413907527924,0.053624413907527924,0.053624413907527924,0,,,,,,156,0.0985349640250206,0.315438836812973,-0.7647085189819336,0.8485254645347595,0.10059083998203278,0,,,,,,,,,,,,,,,
2024-01-29 18:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,748.1,,26.48,52.74,1.76,2024-01-29,0,,,,,,2,0.053624413907527924,0.0,0.053624413907527924,0.053624413907527924,0.053624413907527924,0,,,,,,156,0.0985349640250206,0.315438836812973,-0.7647085189819336,0.8485254645347595,0.10059083998203278,0,,,,,,,,,,,,,,,
2024-01-29 19:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,639.5,,26.53,49.7,1.74,2024-01-29,0,,,,,,2,0.053624413907527924,0.0,0.053624413907527924,0.053624413907527924,0.053624413907527924,0,,,,,,156,0.0985349640250206,0.315438836812973,-0.7647085189819336,0.8485254645347595,0.10059083998203278,0,,,,,,,,,,,,,,,
2024-01-29 20:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,638.1,,26.73,53.02,1.77,2024-01-29,0,,,,,,2,0.053624413907527924,0.0,0.053624413907527924,0.053624413907527924,0.053624413907527924,0,,,,,,156,0.0985349640250206,0.315438836812973,-0.7647085189819336,0.8485254645347595,0.10059083998203278,0,,,,,,,,,,,,,,,
2024-01-29 21:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,502.7,,26.73,49.56,1.76,2024-01-29,0,,,,,,2,0.053624413907527924,0.0,0.053624413907527924,0.053624413907527924,0.053624413907527924,0,,,,,,156,0.0985349640250206,0.315438836812973,-0.7647085189819336,0.8485254645347595,0.10059083998203278,0,,,,,,,,,,,,,,,
2024-01-29 22:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,513.5,,26.64,45.92,1.73,2024-01-29,0,,,,,,2,0.053624413907527924,0.0,0.053624413907527924,0.053624413907527924,0.053624413907527924,0,,,,,,156,0.0985349640250206,0.315438836812973,-0.7647085189819336,0.8485254645347595,0.10059083998203278,0,,,,,,,,,,,,,,,
2024-01-29 23:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,424.1,,26.46,50.18,1.74,2024-01-29,0,,,,,,2,0.053624413907527924,0.0,0.053624413907527924,0.053624413907527924,0.053624413907527924,0,,,,,,156,0.0985349640250206,0.315438836812973,-0.7647085189819336,0.8485254645347595,0.10059083998203278,0,,,,,,,,,,,,,,,
2024-01-30 00:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,513.7,,26.55,50.59,1.76,2024-01-30,0,,,,,,8,0.048380233347415924,0.0005623877514153719,0.047135476022958755,0.04903250187635422,0.0485832653939724,0,,,,,,156,0.11806033551692963,0.2147170901298523,-0.41705846786499023,0.6509379744529724,0.12032587081193924,0,,,,,,,,,,,,,,,
2024-01-30 01:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,644.1,,26.64,44.47,1.82,2024-01-30,0,,,,,,8,0.048380233347415924,0.0005623877514153719,0.047135476022958755,0.04903250187635422,0.0485832653939724,0,,,,,,156,0.11806033551692963,0.2147170901298523,-0.41705846786499023,0.6509379744529724,0.12032587081193924,0,,,,,,,,,,,,,,,
2024-01-30 02:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,983.1,,26.48,45.57,1.93,2024-01-30,0,,,,,,8,0.048380233347415924,0.0005623877514153719,0.047135476022958755,0.04903250187635422,0.0485832653939724,0,,,,,,156,0.11806033551692963,0.2147170901298523,-0.41705846786499023,0.6509379744529724,0.12032587081193924,0,,,,,,,,,,,,,,,
2024-01-30 03:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,973.7,,26.61,41.33,2.03,2024-01-30,0,,,,,,8,0.048380233347415924,0.0005623877514153719,0.047135476022958755,0.04903250187635422,0.0485832653939724,0,,,,,,156,0.11806033551692963,0.2147170901298523,-0.41705846786499023,0.6509379744529724,0.12032587081193924,0,,,,,,,,,,,,,,,
2024-01-30 04:00:00+00:00,2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,1041.7,,26.64,63.19,2.04,2024-01-30,0,,,,,,8,0.048380233347415924,0.0005623877514153719,0.047135476022958755,0.04903250187635422,0.0485832653939724,0,,,,,,156,0.11806033551692963,0.2147170901298523,-0.41705846786499023,0.6509379744529724,0.12032587081193924,0,,,,,,,,,,,,,,,
