datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-09 22:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,748.8,26.4,,41.5,
2024-10-03 02:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,562.3,9.7,,9.6,
2024-10-03 03:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,534.4,13.5,,11.6,
2024-10-03 04:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,530.3,10.0,,10.2,
2024-10-03 05:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,500.4,10.0,,9.2,
2024-10-03 06:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,478.5,11.3,,8.7,
2024-10-03 07:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,452.3,11.7,,8.1,
2024-10-03 08:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,438.7,12.2,,8.4,
2024-10-03 09:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,524.5,11.7,,12.7,
2024-10-03 10:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,638.9,14.4,,10.3,
2024-10-03 11:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,891.4,21.3,,22.5,
2024-10-03 12:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1923.4,37.7,,78.4,
2024-10-03 13:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,2407.9,41.6,,58.2,
2024-10-03 14:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,2009.4,25.5,,59.2,
2024-10-03 15:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,819.3,11.4,,37.5,
2024-10-03 16:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,667.8,11.4,,23.2,
2024-10-03 17:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,700.5,10.6,,20.8,
2024-10-03 18:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,534.0,11.8,,27.8,
2024-10-03 19:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,658.9,19.3,,35.6,
2024-10-03 20:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,977.3,24.2,,52.9,
2024-10-03 21:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,807.7,16.7,,37.5,
2024-10-03 22:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,900.1,16.7,,42.4,
2024-10-03 23:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,838.4,13.7,,30.9,
2024-10-04 00:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1052.4,14.5,,30.2,
2024-10-04 01:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1037.2,13.8,,37.2,
2024-10-04 02:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,914.2,14.3,,37.9,
2024-10-04 03:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,979.4,16.8,,27.1,
2024-10-04 04:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,822.4,14.6,,24.9,
2024-10-04 05:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,728.2,14.0,,21.9,
2024-10-04 06:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,497.7,10.0,,14.9,
2024-10-04 07:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,506.0,10.4,,13.7,
2024-10-04 08:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,550.0,10.1,,14.4,
2024-10-04 09:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,618.5,10.5,,18.5,
2024-10-04 10:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,652.8,12.5,,19.5,
2024-10-04 11:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1185.3,20.7,,29.9,
2024-10-04 12:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1715.7,23.1,,83.9,
2024-10-04 13:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1617.9,19.6,,81.2,
2024-10-04 14:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1791.8,20.0,,70.1,
2024-10-04 15:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,919.5,17.1,,37.6,
2024-10-04 16:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,860.9,15.3,,28.9,
2024-10-04 17:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,802.8,15.7,,31.8,
2024-10-04 18:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,697.4,16.9,,32.1,
2024-10-04 19:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,570.6,12.6,,29.1,
2024-10-04 20:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,553.2,11.1,,27.7,
2024-10-04 21:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,609.8,13.6,,30.6,
2024-10-04 22:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,779.1,13.4,,40.1,
2024-10-04 23:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,912.8,14.1,,47.6,
2024-10-05 00:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,993.2,12.9,,40.8,
2024-10-05 01:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1108.5,16.2,,53.2,
2024-10-05 02:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1052.5,20.3,,61.8,
2024-10-05 03:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,982.1,19.6,,55.2,
2024-10-05 04:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,840.6,15.6,,43.9,
2024-10-05 05:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,751.0,13.7,,32.1,
2024-10-05 06:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,634.6,11.0,,24.1,
2024-10-05 07:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,564.6,10.0,,19.9,
2024-10-05 08:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,558.8,12.5,,18.1,
2024-10-05 09:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,654.9,14.0,,20.3,
2024-10-05 10:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,788.4,14.8,,30.4,
2024-10-05 11:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,980.3,17.0,,38.0,
2024-10-05 12:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1595.0,18.4,,84.5,
2024-10-05 13:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1770.8,16.8,,108.3,
2024-10-05 14:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1836.6,17.7,,72.1,
2024-10-05 15:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1688.3,18.6,,76.2,
2024-10-05 16:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1401.1,16.2,,42.6,
2024-10-05 17:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,795.1,13.1,,35.7,
2024-10-05 18:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,698.1,13.4,,37.1,
2024-10-05 19:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,725.7,15.8,,47.1,
2024-10-05 20:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,657.5,15.4,,43.2,
2024-10-05 21:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,733.0,14.4,,45.4,
2024-10-05 22:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,855.1,12.8,,49.5,
2024-10-05 23:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,987.5,13.6,,54.0,
2024-10-06 00:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1154.6,14.2,,57.3,
2024-10-06 01:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1205.5,14.7,,69.1,
2024-10-06 02:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1098.0,14.9,,64.3,
2024-10-06 03:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,1022.6,14.1,,58.6,
2024-10-06 04:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,818.7,14.4,,39.1,
2024-10-06 05:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,727.1,15.1,,29.1,
2024-10-06 06:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,657.5,11.2,,25.6,
2024-10-06 07:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,529.0,10.4,,16.1,
2024-10-06 08:00:00+00:00,2161293,Chúc Sơn,20.92,105.7123,574.9,17.4,,15.3,
