datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1126.4,27.4,,70.2,
2024-01-29 08:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,903.8,25.8,,71.4,
2024-01-29 22:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,669.3,21.2,,125.4,
2024-01-29 23:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,880.8,23.4,,114.0,
2024-01-30 00:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1021.4,23.0,,102.0,
2024-01-30 02:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1750.7,23.8,,130.1,
2024-01-30 03:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1198.8,23.5,,137.3,
2024-01-30 04:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1201.1,24.0,,103.2,
2024-01-30 06:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1092.0,30.0,,106.4,
2024-01-30 07:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1202.3,32.6,,109.4,
2024-01-30 08:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1347.1,35.4,,117.2,
2024-01-30 22:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,929.7,24.0,,130.8,
2024-01-30 23:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,872.1,18.1,,99.8,
2024-01-31 00:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,925.7,18.5,,77.5,
2024-01-31 02:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1810.2,24.6,,63.0,
2024-01-31 03:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1431.8,24.1,,53.2,
2024-01-31 04:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1170.1,23.3,,58.3,
2024-01-31 06:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1332.9,27.6,,101.5,
2024-01-31 07:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1844.9,35.9,,126.3,
2024-01-31 08:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1666.7,34.0,,110.3,
2024-01-31 22:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1787.7,28.8,,153.7,
2024-01-31 23:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1516.3,22.4,,148.2,
2024-02-02 11:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,901.1,23.6,,60.2,
2024-02-02 12:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,736.5,24.8,,52.7,
2024-02-02 13:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,668.8,24.5,,68.7,
2024-02-02 22:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,225.8,11.8,,34.2,
2024-02-02 23:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,288.0,15.7,,45.6,
2024-02-03 00:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,382.1,20.6,,60.6,
2024-02-03 01:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,567.8,23.1,,59.0,
2024-02-03 02:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,656.2,23.3,,50.0,
2024-02-03 03:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,790.1,25.5,,46.2,
2024-02-03 06:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,761.1,20.3,,66.8,
2024-02-03 07:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,742.9,21.8,,54.0,
2024-02-03 08:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,709.3,21.4,,48.8,
2024-02-04 22:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,289.8,12.4,,47.9,
2024-02-04 23:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,391.2,17.7,,50.7,
2024-02-05 00:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,708.4,23.1,,54.8,
2024-02-05 01:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1149.3,23.6,,47.2,
2024-02-05 02:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,890.4,21.5,,37.7,
2024-02-05 03:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,799.5,20.8,,35.9,
2024-02-05 22:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,524.0,14.9,,40.4,
2024-02-05 23:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,562.0,18.3,,33.5,
2024-02-06 00:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,597.7,17.3,,38.4,
2024-02-06 02:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,896.3,18.7,,110.0,
2024-02-06 03:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,937.5,19.6,,37.6,
2024-02-06 04:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1094.8,22.2,,47.0,
2024-02-06 06:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1025.7,21.1,,50.6,
2024-02-06 07:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1039.2,21.4,,49.6,
2024-02-06 08:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,1027.0,22.5,,51.2,
2024-02-06 22:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,580.1,12.3,,37.6,
2024-02-06 23:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,578.1,12.9,,32.7,
2024-02-07 00:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,614.9,13.2,,34.6,
2024-02-07 11:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,953.8,17.7,,52.1,
2024-02-07 12:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,773.0,15.6,,49.9,
2024-02-07 13:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,653.3,14.3,,45.4,
2024-02-07 22:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,394.6,8.4,,29.7,
2024-02-07 23:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,418.4,8.6,,28.4,
2024-02-08 00:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,438.3,9.0,,21.8,
2024-02-08 07:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,663.4,10.8,,41.0,
2024-02-08 08:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,671.0,11.2,,40.0,
2024-02-08 09:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,664.8,11.4,,38.2,
2024-02-08 22:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,364.3,6.9,,34.2,
2024-02-08 23:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,381.8,7.6,,31.7,
2024-02-09 00:00:00+00:00,2161294,Cung thiếu nhi,21.0284,105.8556,412.1,9.3,,24.0,
