datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,36.6,58.0,,34.1,
2024-01-29 08:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,52.0,54.5,,40.3,
2024-01-29 22:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,66.5,47.1,,40.7,
2024-01-29 23:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,102.6,47.5,,41.5,
2024-01-30 00:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,221.5,48.6,,53.6,
2024-01-30 02:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,,65.0,,42.1,
2024-01-30 03:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,,61.4,,40.6,
2024-01-30 04:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,,55.3,,48.0,
2024-01-30 06:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,193.9,57.5,,45.1,
2024-01-30 07:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,17.5,88.6,,48.6,
2024-01-30 08:00:00+00:00,2161295,Đầm Trấu,21.0119,105.8644,119.4,73.9,,34.9,
