datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,2006.0,15.9,,55.5,
2024-01-29 08:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,1994.8,15.6,,67.5,
2024-01-29 22:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,651.2,10.5,,116.6,
2024-01-29 23:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,911.3,11.1,,105.3,
2024-01-30 00:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,1488.3,12.4,,99.0,
2024-01-30 02:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,3548.3,11.4,,86.4,
2024-01-30 03:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,2864.6,9.5,,89.4,
2024-01-30 04:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,2842.4,12.3,,91.8,
2024-01-30 06:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,2094.4,17.3,,102.3,
2024-01-30 07:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,2687.6,26.7,,101.6,
2024-01-30 08:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,3140.3,27.9,,112.0,
2024-01-30 22:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,1022.0,11.6,,123.6,
2024-01-30 23:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,956.9,8.9,,95.8,
2024-01-31 00:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,1436.6,9.6,,76.8,
2024-01-31 02:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,4033.8,13.1,,65.2,
2024-01-31 03:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,3517.6,13.5,,52.6,
2024-01-31 04:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,3464.8,14.7,,58.2,
2024-01-31 06:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,3342.6,21.6,,83.2,
2024-01-31 07:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,3720.6,26.7,,93.8,
2024-01-31 08:00:00+00:00,2161298,Đông Kinh Nghĩa Thục,21.032,105.8515,2760.1,24.5,,102.2,
