datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,578.1,27.1,,,
2024-01-29 08:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,641.6,23.8,,34.2,
2024-01-29 22:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,602.6,24.9,,62.5,
2024-01-29 23:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,731.0,24.0,,56.6,
2024-01-30 00:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,863.3,27.3,,52.1,
2024-01-30 02:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1199.0,28.6,,45.2,
2024-01-30 03:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1334.5,33.9,,53.9,
2024-01-30 04:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1240.7,36.9,,,
2024-01-30 06:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1162.3,40.0,,,
2024-01-30 07:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1427.7,45.3,,54.2,
2024-01-30 08:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1526.8,45.0,,60.5,
2024-01-30 22:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1500.4,36.2,,50.2,
2024-01-31 00:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1862.5,42.5,,48.6,
2024-01-31 02:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,2401.5,31.3,,55.4,
2024-01-31 03:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1867.2,35.5,,43.6,
2024-01-31 04:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1454.5,30.8,,40.1,
2024-01-31 06:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1335.1,35.2,,37.8,
2024-01-31 07:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1517.0,32.8,,49.3,
2024-01-31 08:00:00+00:00,2161303,Kim Liên,21.0074,105.8358,1578.5,35.2,,52.1,
