datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,666.7,14.8,,39.8,
2024-01-29 08:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,743.2,18.1,,40.3,
2024-01-29 22:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,437.3,16.6,,50.2,
2024-01-29 23:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,525.5,16.0,,50.2,
2024-01-30 00:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,672.3,20.4,,51.0,
2024-01-30 02:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,1100.7,,,,
2024-01-30 03:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,1104.3,24.6,,45.6,
2024-01-30 04:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,971.8,22.4,,40.1,
2024-01-30 06:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,912.6,18.6,,40.8,
2024-01-30 07:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,1135.6,15.1,,57.2,
2024-01-30 08:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,1063.2,28.6,,49.6,
2024-01-30 22:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,741.8,11.3,,50.0,
2024-01-30 23:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,714.1,9.6,,43.7,
2024-01-31 00:00:00+00:00,2161304,Lê Trực,21.0327,105.8329,1026.9,9.4,,30.4,
