datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 17:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11396.4,7.32,7.07,6.55,0.0
2024-01-29 18:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9756.8,7.12,9.63,10.45,4.98
2024-01-29 19:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9187.5,7.26,26.66,11.54,1.3
2024-01-29 20:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11022.7,7.26,21.41,8.9,0.0
2024-01-29 21:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9663.5,7.34,13.07,9.95,0.0
2024-01-29 22:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8120.1,7.28,7.76,9.27,0.0
2024-01-29 23:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7606.0,7.21,18.71,7.84,0.0
2024-01-30 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6983.0,7.08,8.32,7.11,2.06
2024-01-30 01:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8930.4,7.29,8.88,6.01,0.5
2024-01-30 02:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11513.5,7.4,8.26,4.85,0.0
2024-01-30 03:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,10051.8,7.16,10.87,3.68,0.0
2024-01-30 04:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9493.1,7.33,27.96,3.6,0.0
2024-01-30 05:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8874.5,7.18,33.27,3.95,0.0
2024-01-30 06:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8392.9,6.98,9.7,5.98,3.39
2024-01-30 07:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7281.7,7.02,12.3,6.68,3.27
2024-01-30 08:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8663.1,6.75,10.13,5.96,5.16
2024-01-30 10:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8583.7,6.98,17.55,5.6,0.0
2024-01-30 11:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,10174.2,7.08,7.73,6.08,0.0
2024-01-30 12:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,12452.5,7.11,7.58,6.49,2.3
2024-01-30 13:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14323.8,7.17,9.24,6.46,2.57
2024-01-30 14:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16072.2,6.89,10.53,5.25,3.31
2024-01-30 15:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16508.4,6.94,6.42,4.19,2.18
2024-01-30 16:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15796.4,7.12,10.64,3.57,0.0
2024-01-30 17:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14960.4,7.2,24.22,9.18,0.0
2024-01-30 21:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,12508.2,7.06,5.73,14.95,2.86
2024-01-30 22:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11658.1,7.07,11.08,12.01,0.0
2024-01-30 23:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11116.2,6.97,30.41,10.23,0.0
2024-01-31 00:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,13804.9,6.89,7.77,8.68,4.38
2024-01-31 01:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,19549.2,7.04,13.24,6.7,5.17
2024-01-31 02:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,22002.7,7.13,8.5,5.76,3.54
2024-01-31 03:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,20331.1,7.09,4.68,5.05,2.53
2024-01-31 04:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,17369.1,7.03,12.22,4.79,0.0
2024-01-31 05:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,15993.2,7.14,29.36,4.67,0.0
2024-01-31 06:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,16069.3,6.97,7.4,4.59,4.22
2024-01-31 07:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,14218.6,6.8,13.24,6.17,7.06
2024-01-31 08:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,12321.9,6.6,14.74,11.16,12.22
2024-01-31 09:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11243.8,6.55,19.85,11.93,9.66
2024-01-31 10:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,11505.6,6.67,18.87,9.16,0.0
2024-01-31 11:00:00+00:00,2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,12959.6,6.84,19.07,6.85,0.0
