datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1137.8,16.9,,48.8,
2024-01-29 08:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1097.0,16.8,,55.4,
2024-01-29 22:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,699.8,14.6,,58.0,
2024-01-29 23:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,927.9,12.6,,64.4,
2024-01-30 00:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1486.9,12.7,,61.5,
2024-01-30 01:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1744.2,10.9,,57.9,
2024-01-30 02:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,2117.4,13.9,,59.1,
2024-01-30 03:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1630.2,17.1,,62.1,
2024-01-30 04:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1639.8,20.8,,67.0,
2024-01-30 05:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1824.0,22.0,,71.7,
2024-01-30 06:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1887.3,23.8,,88.8,
2024-01-30 07:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,2414.9,32.2,,85.2,
2024-01-30 08:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1789.0,30.4,,83.2,
2024-01-30 09:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1586.1,28.4,,84.7,
2024-01-30 10:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1372.0,29.0,,85.9,
2024-01-30 11:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,2210.8,36.5,,93.3,
2024-01-30 12:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,2546.2,36.5,,96.9,
2024-01-30 13:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,2647.7,33.2,,101.7,
2024-01-30 14:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,2663.3,27.1,,104.4,
2024-01-30 15:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,2639.2,27.3,,101.0,
2024-01-30 16:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1669.3,23.5,,86.0,
2024-01-30 17:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1533.5,20.2,,89.5,
2024-01-30 18:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1430.7,18.6,,89.0,
2024-01-30 19:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1565.8,19.4,,85.7,
2024-01-30 20:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1427.4,16.4,,80.7,
2024-01-30 21:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1111.7,15.7,,82.3,
2024-01-30 22:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1254.8,14.1,,85.4,
2024-01-30 23:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1215.2,12.0,,74.5,
2024-01-31 00:00:00+00:00,2161309,Pháp Vân,20.9481,105.8493,1566.9,11.7,,51.7,
