datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,556.3,57.7,,36.2,
2024-01-29 08:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,633.6,57.0,,42.1,
2024-01-29 22:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,432.7,57.8,,58.7,
2024-01-29 23:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,474.4,56.4,,59.4,
2024-01-30 00:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,622.1,57.8,,57.2,
2024-01-30 02:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1385.4,61.2,,43.2,
2024-01-30 03:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1374.7,64.4,,48.6,
2024-01-30 04:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1515.5,69.8,,47.2,
2024-01-30 06:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1327.0,74.0,,46.3,
2024-01-30 07:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1419.0,77.1,,55.9,
2024-01-30 08:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1647.9,81.9,,40.8,
2024-01-30 22:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,804.1,54.9,,44.0,
2024-01-30 23:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,784.6,54.3,,40.4,
2024-01-31 00:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,942.0,55.0,,52.3,
2024-01-31 02:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1885.5,59.0,,41.2,
2024-01-31 03:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1515.2,59.2,,29.8,
2024-01-31 04:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1414.8,63.3,,34.8,
2024-01-31 06:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1590.4,70.8,,44.3,
2024-01-31 07:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1666.8,73.9,,48.7,
2024-01-31 08:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1975.6,76.3,,47.1,
2024-01-31 22:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1714.9,57.9,,52.1,
2024-01-31 23:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1538.3,59.2,,45.9,
2024-02-02 11:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,1122.5,64.6,,32.1,
2024-02-02 12:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,903.4,59.8,,24.1,
2024-02-02 13:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,777.2,58.6,,26.0,
2024-02-02 22:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,113.0,43.6,,26.2,
2024-02-02 23:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,147.4,44.7,,22.7,
2024-02-03 00:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,378.4,47.4,,25.2,
2024-02-03 01:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,883.5,49.9,,24.1,
2024-02-03 02:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,951.4,52.2,,20.2,
2024-02-03 03:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,869.8,53.1,,18.9,
2024-02-03 06:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,684.6,51.5,,24.1,
2024-02-03 07:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,589.0,50.1,,29.3,
2024-02-03 08:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,596.4,52.1,,,
2024-02-04 22:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,129.8,46.6,,27.3,
2024-02-04 23:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,215.0,49.5,,20.7,
2024-02-05 00:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,363.1,48.6,,23.6,
2024-02-05 01:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,610.0,47.6,,17.2,
2024-02-05 02:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,726.0,49.2,,20.5,
2024-02-05 03:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,871.5,51.0,,14.4,
2024-02-05 22:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,367.4,43.2,,23.0,
2024-02-05 23:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,417.2,43.0,,20.1,
2024-02-06 00:00:00+00:00,2161313,Tân Mai,20.9883,105.8549,555.2,43.4,,21.0,
