datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,744.5,34.9,,36.8,
2024-01-29 08:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,1021.5,40.6,,44.4,
2024-01-29 22:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,983.0,36.0,,47.6,
2024-01-29 23:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,936.0,35.1,,53.2,
2024-01-30 00:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,1009.6,44.8,,52.8,
2024-01-30 02:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,3172.7,37.4,,,
2024-01-30 03:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,3145.7,77.5,,56.8,
2024-01-30 04:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,2345.0,47.6,,33.4,
2024-01-30 06:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,3179.7,67.6,,49.8,
2024-01-30 07:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,3179.7,52.4,,48.7,
2024-01-30 08:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,2345.0,62.3,,49.8,
2024-01-30 22:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,2975.3,27.6,,28.6,
2024-01-30 23:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,3184.4,31.6,,28.2,
2024-01-31 00:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,2345.0,33.6,,28.1,
2024-01-31 02:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,3289.2,35.1,,40.6,
2024-01-31 03:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,3179.7,34.4,,35.0,
2024-01-31 04:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,2345.0,31.3,,24.7,
2024-01-31 06:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,3179.7,30.4,,42.9,
2024-01-31 07:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,3074.9,30.8,,48.6,
2024-01-31 08:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,2885.0,39.2,,46.7,
2024-01-31 22:00:00+00:00,2161315,Tây Mỗ,21.0058,105.7485,1287.3,33.0,,52.1,
