datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 16:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,794.9,16.7,,55.6,
2024-01-29 17:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,652.6,16.6,,60.0,
2024-01-29 18:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,573.7,11.3,,60.1,
2024-01-29 19:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,440.1,8.6,,68.9,
2024-01-29 20:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,436.8,8.4,,71.4,
2024-01-29 21:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,455.6,8.4,,61.4,
2024-01-29 22:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,491.5,6.4,,62.2,
2024-01-29 23:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,468.0,6.4,,60.6,
2024-01-30 00:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,504.8,6.3,,44.0,
2024-01-30 01:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,593.3,6.5,,40.9,
2024-01-30 02:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,536.8,7.1,,53.6,
2024-01-30 03:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,586.7,6.3,,54.5,
2024-01-30 04:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,560.2,8.4,,42.3,
2024-01-30 05:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,612.4,7.5,,55.9,
2024-01-30 06:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,663.3,10.3,,80.5,
2024-01-30 07:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,658.5,13.0,,88.0,
2024-01-30 08:00:00+00:00,2161320,Vân Hà,21.1476,105.9159,636.8,11.2,,89.0,
