datetime_utc,location_id,location_name,latitude,longitude,CO mass µg/m³,NO₂ mass µg/m³,O₃ mass µg/m³,PM2.5 µg/m³,SO₂ mass µg/m³
2024-01-29 07:00:00+00:00,2161321,Văn Quán,20.972,105.7856,578.3,14.5,,39.8,
2024-01-29 08:00:00+00:00,2161321,Văn Quán,20.972,105.7856,592.2,20.7,,67.4,
2024-01-29 22:00:00+00:00,2161321,Văn Quán,20.972,105.7856,700.6,21.6,,48.6,
2024-01-29 23:00:00+00:00,2161321,Văn Quán,20.972,105.7856,739.8,26.0,,61.4,
2024-01-30 00:00:00+00:00,2161321,Văn Quán,20.972,105.7856,775.8,36.6,,60.0,
2024-01-30 02:00:00+00:00,2161321,Văn Quán,20.972,105.7856,1120.9,28.8,,54.7,
2024-01-30 03:00:00+00:00,2161321,Văn Quán,20.972,105.7856,1433.9,26.4,,44.8,
2024-01-30 04:00:00+00:00,2161321,Văn Quán,20.972,105.7856,1488.6,36.7,,39.8,
2024-01-30 06:00:00+00:00,2161321,Văn Quán,20.972,105.7856,1576.7,23.8,,38.7,
2024-01-30 07:00:00+00:00,2161321,Văn Quán,20.972,105.7856,1575.3,35.0,,36.8,
2024-01-30 08:00:00+00:00,2161321,Văn Quán,20.972,105.7856,1644.2,35.2,,28.4,
2024-01-30 22:00:00+00:00,2161321,Văn Quán,20.972,105.7856,599.2,24.6,,26.7,
2024-01-30 23:00:00+00:00,2161321,Văn Quán,20.972,105.7856,569.9,34.0,,36.2,
2024-01-31 00:00:00+00:00,2161321,Văn Quán,20.972,105.7856,744.0,44.5,,30.1,
2024-01-31 02:00:00+00:00,2161321,Văn Quán,20.972,105.7856,1580.1,53.4,,43.2,
2024-01-31 03:00:00+00:00,2161321,Văn Quán,20.972,105.7856,997.0,58.2,,26.7,
2024-01-31 04:00:00+00:00,2161321,Văn Quán,20.972,105.7856,883.7,33.9,,27.4,
2024-01-31 06:00:00+00:00,2161321,Văn Quán,20.972,105.7856,882.3,56.7,,32.7,
2024-01-31 07:00:00+00:00,2161321,Văn Quán,20.972,105.7856,851.4,54.6,,47.3,
2024-01-31 08:00:00+00:00,2161321,Văn Quán,20.972,105.7856,996.8,30.4,,52.6,
2024-01-31 22:00:00+00:00,2161321,Văn Quán,20.972,105.7856,1149.0,20.1,,46.7,
2024-01-31 23:00:00+00:00,2161321,Văn Quán,20.972,105.7856,1098.6,24.0,,45.3,
2024-02-02 11:00:00+00:00,2161321,Văn Quán,20.972,105.7856,786.2,30.9,,23.4,
2024-02-02 12:00:00+00:00,2161321,Văn Quán,20.972,105.7856,822.6,27.7,,25.1,
2024-02-02 13:00:00+00:00,2161321,Văn Quán,20.972,105.7856,589.5,21.3,,28.0,
