latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
13.19269,105.90726,367,0.54,0.68,2026-04-01,0531,N,VIIRS,h,2.0NRT,296.37,8.26,D
13.70954,108.54101,331.97,0.36,0.57,2026-04-01,0531,N,VIIRS,l,2.0NRT,303.79,1.6,D
13.7286,108.61266,330.53,0.35,0.57,2026-04-01,0531,N,VIIRS,l,2.0NRT,303.93,2.62,D
13.70871,108.53987,336.62,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,303.71,1.46,D
13.7283,108.61134,337.59,0.35,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,303.88,2.65,D
13.1854,105.91602,335.11,0.54,0.68,2026-04-01,0531,N,VIIRS,n,2.0NRT,298.96,7,D
13.73609,108.59582,331.17,0.35,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.81,1.86,D
13.1906,105.90981,356.27,0.54,0.68,2026-04-01,0531,N,VIIRS,n,2.0NRT,298.23,9.07,D
13.18954,105.90475,331.85,0.54,0.68,2026-04-01,0531,N,VIIRS,n,2.0NRT,292.47,9.07,D
13.67412,108.2543,367,0.37,0.58,2026-04-01,0531,N,VIIRS,h,2.0NRT,303.14,7.54,D
13.69265,108.34789,332.03,0.37,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.76,3.68,D
13.61074,107.82098,344.67,0.4,0.6,2026-04-01,0531,N,VIIRS,n,2.0NRT,299.94,6.52,D
13.70534,108.2718,335.13,0.37,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.85,10.58,D
13.7107,108.27082,352.55,0.37,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.18,10.58,D
13.71002,108.26734,355.3,0.37,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,297.74,12.04,D
13.43993,106.69534,331.59,0.48,0.64,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.13,2.23,D
13.12475,106.23496,346.47,0.52,0.67,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.91,5.27,D
13.44585,106.69408,337.28,0.48,0.64,2026-04-01,0531,N,VIIRS,n,2.0NRT,301,2.23,D
13.60019,107.38434,336.42,0.43,0.62,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.06,5.93,D
13.44232,106.69501,348.09,0.48,0.64,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.08,6.7,D
13.02232,107.70667,336.89,0.42,0.61,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.22,2.69,D
13.60148,107.38346,330.05,0.43,0.62,2026-04-01,0531,N,VIIRS,l,2.0NRT,300.42,4.98,D
13.00384,104.32715,344.26,0.69,0.74,2026-04-01,0531,N,VIIRS,n,2.0NRT,295.33,8.6,D
13.54507,106.71559,332.15,0.47,0.64,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.11,6.02,D
13.88651,108.39491,330.89,0.36,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.72,2.25,D
13.88592,108.39185,334.41,0.36,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.16,2.25,D
13.90573,108.46652,367,0.36,0.57,2026-04-01,0531,N,VIIRS,h,2.0NRT,302.27,8.72,D
13.89184,108.39409,367,0.36,0.58,2026-04-01,0531,N,VIIRS,h,2.0NRT,301.82,13.35,D
13.90504,108.46289,356.72,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.32,8.72,D
13.90405,108.42921,367,0.36,0.57,2026-04-01,0531,N,VIIRS,h,2.0NRT,302.45,5.17,D
13.90929,108.42805,342.5,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.61,3.61,D
13.90479,108.46512,367,0.36,0.57,2026-04-01,0531,N,VIIRS,h,2.0NRT,303.89,15.98,D
13.89041,108.39307,367,0.36,0.57,2026-04-01,0531,N,VIIRS,h,2.0NRT,303.6,14.01,D
13.90876,108.43016,338.73,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.56,4.4,D
13.90814,108.42703,350.8,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.1,4.4,D
13.94135,108.45679,344.31,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,298.61,5.73,D
14.03141,108.75256,333.79,0.34,0.56,2026-04-01,0531,N,VIIRS,n,2.0NRT,299.75,2.42,D
13.61024,106.56351,331.2,0.48,0.65,2026-04-01,0531,N,VIIRS,l,2.0NRT,302.41,3.23,D
14.00876,108.43861,331.8,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,299.51,3.41,D
13.6468,106.56037,330.21,0.48,0.65,2026-04-01,0531,N,VIIRS,l,2.0NRT,301.11,4.17,D
14.08576,108.72506,367,0.34,0.56,2026-04-01,0531,N,VIIRS,h,2.0NRT,300.34,5.98,D
13.65345,106.58302,335.15,0.48,0.65,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.89,5.88,D
13.30379,104.89024,331.19,0.63,0.72,2026-04-01,0531,N,VIIRS,n,2.0NRT,296.31,5.03,D
13.61944,106.23621,345.84,0.51,0.66,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.11,5.28,D
