location_id,location_name,latitude,longitude,date,no2_valid_pixels,no2_mean,no2_std,no2_min,no2_max,no2_median,co_valid_pixels,co_mean,co_std,co_min,co_max,co_median,so2_valid_pixels,so2_mean,so2_std,so2_min,so2_max,so2_median,aer_ai_340_380_valid_pixels,aer_ai_340_380_mean,aer_ai_340_380_std,aer_ai_340_380_min,aer_ai_340_380_max,aer_ai_340_380_median,s2_valid_pixels,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_median,ndbi_mean,ndbi_std,ndbi_min,ndbi_max,ndbi_median,ndwi_mean,ndwi_std,ndwi_min,ndwi_max,ndwi_median,day_of_week,month,day_of_year
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-07,0,,,,,,10.0,0.04363199323415756,0.0002815172483678907,0.04328720644116402,0.04386185109615326,0.04386185109615326,0.0,,,,,,156,0.4074918329715729,0.16106843948364258,-0.408730685710907,0.7108537554740906,0.3914494216442108,45954,-0.011251230724155903,0.011758614331483841,-0.12033182382583618,0.0681375116109848,-0.010054838843643665,-0.17339256405830383,0.04320480674505234,-0.3987673819065094,-0.045614730566740036,-0.16263481974601746,0.013688312843441963,0.011806106194853783,-0.014811670407652855,0.08357338607311249,0.01176469773054123,2,2,38
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-08,0,,,,,,0.0,,,,,,0.0,,,,,,156,0.632883608341217,0.07973658293485641,0.5062943696975708,0.929644763469696,0.6152827739715576,0,,,,,,,,,,,,,,,,3,2,39
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-09,0,,,,,,2.0,0.061979539692401886,0.0,0.061979539692401886,0.061979539692401886,0.061979539692401886,0.0,,,,,,156,0.4473007321357727,0.18890336155891418,-0.23495477437973022,0.8179824352264404,0.4828508496284485,0,,,,,,,,,,,,,,,,4,2,40
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-10,105,2.8139824280515313e-05,8.085818080871832e-06,1.1369757885404397e-05,5.4716972954338416e-05,2.7335519916960038e-05,120.0,0.06799028813838959,0.003720015287399292,0.06023920327425003,0.07623811066150665,0.06754465401172638,137.0,1.2576335393532645e-05,0.0002498869434930384,-0.0007672070059925318,0.0006139509496279061,-9.418070021638414e-07,156,-0.7326189279556274,0.3083426058292389,-1.7188761234283447,-0.034049876034259796,-0.7481527328491211,0,,,,,,,,,,,,,,,,5,2,41
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-11,155,2.792172017507255e-05,8.33815738587873e-06,9.279621735913679e-06,4.6073451812844723e-05,2.799139838316478e-05,79.0,0.06466987729072571,0.0040950048714876175,0.05763959884643555,0.07369311898946762,0.06362786144018173,156.0,0.00012161957420175895,0.0002972095680888742,-0.0005190504598431289,0.001034434768371284,0.00011358722986187786,156,-0.8639379739761353,0.12297507375478745,-1.3830468654632568,-0.6392252445220947,-0.8486496210098267,0,,,,,,,,,,,,,,,,6,2,42
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-12,156,6.307179137365893e-05,3.1592971936333925e-05,2.3105627406039275e-05,0.00016643601702526212,5.24765819136519e-05,148.0,0.05609692633152008,0.001749376649968326,0.04872989282011986,0.06121686100959778,0.055883537977933884,156.0,0.00014636426931247115,0.0003127130912616849,-0.000675446295645088,0.0009811274940147996,0.00017229375953320414,156,-0.2550452947616577,0.1854637712240219,-0.7700198292732239,0.07755597680807114,-0.20138238370418549,45954,0.2158220112323761,0.14133241772651672,-0.19549240171909332,0.7804375886917114,0.17335470020771027,0.09816642105579376,0.142215758562088,-0.44740378856658936,0.7267255783081055,0.10413385182619095,-0.24834385514259338,0.12298544496297836,-0.9297075867652893,0.3028557002544403,-0.23655536770820618,0,2,43
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-13,39,5.836187119712122e-05,1.7513269995106384e-05,2.8845801352872513e-05,8.776500180829316e-05,5.776706893811934e-05,101.0,0.05832599103450775,0.0018001076532527804,0.05327682942152023,0.06130966171622276,0.05844425782561302,100.0,-1.386276835546596e-05,0.0002066706510959193,-0.0005002081161364913,0.0004916645702905953,-7.364009888988221e-06,156,0.9735496640205383,0.27309322357177734,0.36592647433280945,1.633605718612671,0.9477466940879822,0,,,,,,,,,,,,,,,,1,2,44
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-14,0,,,,,,0.0,,,,,,0.0,,,,,,156,0.4959126114845276,0.27842360734939575,-0.5441001057624817,1.1156030893325806,0.4880359172821045,0,,,,,,,,,,,,,,,,2,2,45
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-15,0,,,,,,3.0,0.043257713317871094,0.0014171210350468755,0.04225565865635872,0.04526182636618614,0.04225565865635872,1.0,-9.873791714198887e-05,0.0,-9.873791714198887e-05,-9.873791714198887e-05,-9.873791714198887e-05,156,-0.30841347575187683,0.5935706496238708,-1.9032000303268433,0.7826117873191833,-0.2367866486310959,0,,,,,,,,,,,,,,,,3,2,46
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2024-02-16,12,7.589691813336685e-05,2.9224444006104022e-05,3.931529863621108e-05,0.00013159384252503514,6.982325430726632e-05,39.0,0.050236091017723083,0.0035937170032411814,0.04098723828792572,0.05865037068724632,0.05020720139145851,26.0,4.239306508679874e-05,0.00013632023183163255,-0.0002590146323200315,0.0003271114837843925,3.240135993110016e-05,156,-0.5731616616249084,0.7941532731056213,-2.5279345512390137,1.0802593231201172,-0.5430010557174683,0,,,,,,,,,,,,,,,,4,2,47
